metric,mean,median,std,min,max,pooled
valid_pixels,73017.1,74880.0,18758.34664382765,33880.0,116964.0,3650855
mae_m,2.664318018197,2.510403238130875,1.13356705237735,1.1290093219115027,6.921312983869423,2.592083219237286
rmse_m,5.240418903967926,5.044031281319642,2.0830439722377103,2.1987075441176125,12.64420190200163,5.469192984642442
absrel,0.13050210474790908,0.1232534034344859,0.04443238485402988,0.06020786749574982,0.2562217811897567,0.1282202233621484
sqrel,0.8999802539884321,0.7663150526276328,0.6214458935197701,0.15860093737641598,3.510015415427655,0.8571094325967717
rmse_log,0.20640089899693476,0.18845681717213508,0.07879395887033623,0.08581171526864358,0.40606554477538065,0.217210662491079
delta_1_25,0.803902978639898,0.833634138696201,0.13658169815318233,0.38090318772136955,0.9759163211349813,0.8057816593647241
delta_1_25_2,0.9340228287234602,0.9586793983205184,0.07138837286292711,0.7226341623524848,0.998656662625733,0.9348722422555812
delta_1_25_3,0.9803211126462346,0.9915727921350658,0.030373428667656428,0.8412580005072583,1.0,0.9815498013479035
