target_abs_gt_difference_m,range_lower_m,range_upper_m,variant,pairs,slope,intercept_m,r2,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
0.1,0.08000000000000002,0.12,metric_raw,155755,0.12201951040971007,0.008452599450800683,0.005344875917553282,0.09820160267728163,0.11471428930240896,0.18574280593382506,0.011939923243057149,0.07310865829403076,0.14883197815348906,0.5740040448139706,0.09849510203977976
0.1,0.08000000000000002,0.12,metric_bias_corrected,155755,0.12201955163121386,0.008452599141536773,0.005344879555806981,0.09820160267728163,0.11471428748237307,0.1857428033834366,0.011939922770062119,0.073108683176535,0.14883200510231762,0.5740040448139706,0.09849510203977976
0.1,0.08000000000000002,0.12,metric_scale_shift,155755,0.30949168940323984,0.01995455569651554,0.004983182671313702,0.09820160267728163,0.20766952935659935,0.4366765876541892,0.022697243135295586,0.07059166148571511,0.12151701076536489,0.5605213315784405,0.09849510203977976
0.1,0.08000000000000002,0.12,relative_scale_shift,155755,0.1779212149183704,-0.00040585316489858244,0.049890140777072545,0.09820160267728163,0.0922013463738573,0.11141331697738852,0.002859429993800438,0.22336100997504557,0.3333171903644042,0.6520304324098745,0.09849510203977976
0.2,0.16000000000000003,0.24,metric_raw,98111,0.15513000866340773,0.009232743383365306,0.014956142993688748,0.19833132243071622,0.2047883099865475,0.3025509545630492,0.015685887778569958,0.12229531059565937,0.24800277022389502,0.6265250583522745,0.1992799213134153
0.2,0.16000000000000003,0.24,metric_bias_corrected,98111,0.15513000813091865,0.009232741947975014,0.014956143236914077,0.19833132243071622,0.2047883100618803,0.30255095211642064,0.01568588634724683,0.12229531159007669,0.24800281765997806,0.6265250583522745,0.1992799213134153
0.2,0.16000000000000003,0.24,metric_scale_shift,98111,0.3408194893722751,0.012991053283098453,0.011621296164211259,0.19833132243071622,0.3164592050674709,0.640237953281288,0.018025895402246583,0.1078021157687148,0.17501377856714048,0.5888432489731019,0.1992799213134153
0.2,0.16000000000000003,0.24,relative_scale_shift,98111,0.2110164756637517,-0.0009351339701738215,0.125765980703877,0.19833132243071622,0.17553977064453521,0.1924546570290345,0.005091147777535094,0.35463499644546764,0.46776935274654863,0.7356565522724261,0.1992799213134153
0.5,0.4,0.6,metric_raw,55071,0.10705006141669472,0.013068668524091387,0.023703384970934716,0.48201625515243957,0.46567001642100864,0.5475068496440619,0.0344757644592156,0.1539590366653889,0.28614037516709023,0.6481451217519203,0.4849912524063614
0.5,0.4,0.6,metric_bias_corrected,55071,0.10705005831780388,0.013068675961126283,0.02370338404161465,0.48201625515243957,0.4656700159491155,0.5475068495073973,0.034475771970541615,0.15395903364731375,0.2861402662179537,0.6481451217519203,0.4849912524063614
0.5,0.4,0.6,metric_scale_shift,55071,0.2669309421268732,0.0325436455154539,0.021348238044314072,0.48201625515243957,0.5622506129627158,0.9472151604936941,0.050117844214497144,0.14611036254938944,0.24078102792555503,0.6105754389787729,0.4849912524063614
0.5,0.4,0.6,relative_scale_shift,55071,0.30640556967536026,-0.009746037635830214,0.2979413047335123,0.48201625515243957,0.3720282595165979,0.40649688779418813,0.006881817822207772,0.545839999206281,0.6368440638321445,0.836937771240762,0.4849912524063614
1.0,0.8,1.2,metric_raw,12353,0.10771396833001227,0.04050161212048146,0.04767386194057055,0.9563358850076904,0.9000351221119645,0.9780500395714142,0.06311089722509762,0.2183434495023163,0.32435895971969847,0.668906338541245,0.9626559760985287
1.0,0.8,1.2,metric_bias_corrected,12353,0.10771397065870544,0.040501621212102455,0.04767386453964384,0.9563358850076904,0.9000351187922854,0.9780500366473552,0.06311090625771278,0.2183434554541166,0.324359245862426,0.668906338541245,0.9626559760985287
1.0,0.8,1.2,metric_scale_shift,12353,0.26339416314795455,0.14116221675537236,0.030499441172244124,0.9563358850076904,1.0102216852132988,1.6037562937941285,0.15982678258292618,0.1746408920391902,0.32001570243255223,0.6506111875657735,0.9626559760985287
1.0,0.8,1.2,relative_scale_shift,12353,0.24905674520958948,0.003343710386035536,0.33771815774942104,0.9563358850076904,0.7516437041212323,0.7973780404383911,0.02237156641239156,0.5811352318947984,0.7081898219332018,0.8828624625597021,0.9626559760985287
