group,pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,view_type
nadir,8,metric_raw,520000,0.0076746844951923075,0.011960167026519775,0.03231812060895604,0.00042825510318462664,0.03842681728899311,0.04360638802375616,0.5219326689342704,0.02819453874255997,nadir
nadir,8,metric_bias_corrected,520000,0.0076746844951923075,0.01196016699717595,0.032318119702659645,0.0004282542265378512,0.03842685819130621,0.04360652892195143,0.5218841404502561,0.02819453874255997,nadir
nadir,8,metric_scale_shift,520000,0.0076746844951923075,0.008052033041073726,0.02830162582262358,0.00024422281888815075,0.0025736906094745373,0.018909817947478366,0.5105372985516453,0.02819453874255997,nadir
nadir,8,relative_scale_shift,520000,0.0076746844951923075,0.00785000321681683,0.027976548005472696,9.234543580275315e-05,0.12416582983861266,0.08384451735211895,0.5322957061115008,0.02819453874255997,nadir
nadir,16,metric_raw,520000,0.014452704326923077,0.02102791127883471,0.04704921018268338,0.0008008804330459008,0.07790178101080919,0.05270859325381667,0.5213825055842408,0.043545606816000865,nadir
nadir,16,metric_bias_corrected,520000,0.014452704326923077,0.021027910764400776,0.047049210274582524,0.0008008823027977576,0.07790175671956537,0.05270864241346568,0.5213659351366399,0.043545606816000865,nadir
nadir,16,metric_scale_shift,520000,0.014452704326923077,0.014933730582090524,0.043615822151128754,0.0003828851167972271,0.00788030858993001,0.02342544635467066,0.5105321764951515,0.043545606816000865,nadir
nadir,16,relative_scale_shift,520000,0.014452704326923077,0.014580277474109943,0.04284872946607153,0.00010246873452113225,0.18031455231902924,0.10039286631549066,0.535934672667378,0.043545606816000865,nadir
nadir,32,metric_raw,520000,0.02508192608173077,0.03527900916704765,0.06969781671588705,0.0017575703905178951,0.10976666509295714,0.07488403027327126,0.5263909299687645,0.06268604638668338,nadir
nadir,32,metric_bias_corrected,520000,0.02508192608173077,0.03527900825647207,0.06969781684740373,0.0017575706041776217,0.10976667410502455,0.07488403623981493,0.5263881360951705,0.06268604638668338,nadir
nadir,32,metric_scale_shift,520000,0.02508192608173077,0.025714077727611247,0.06293653028790663,0.0007582605600357056,0.0005924298015148969,0.028519422296802866,0.5106055441627599,0.06268604638668338,nadir
nadir,32,relative_scale_shift,520000,0.02508192608173077,0.024951911069796634,0.06084814641289378,0.00019321048993330736,0.24822107558242668,0.12830021144425477,0.5439839519900762,0.06268604638668338,nadir
nadir,64,metric_raw,520000,0.03991218449519231,0.055663900313010585,0.09799356696310528,0.003598000500752376,0.15485393152724192,0.10355281152909339,0.534997351360896,0.08979206013596328,nadir
nadir,64,metric_bias_corrected,520000,0.03991218449519231,0.05566389980132763,0.09799356594488386,0.003597999567251939,0.15485394548604467,0.1035528124374896,0.5349948288474636,0.08979206013596328,nadir
nadir,64,metric_scale_shift,520000,0.03991218449519231,0.040695489498285144,0.09005647404254795,0.0014977323788862961,0.017175941919812844,0.03833091276741682,0.5116489670307495,0.08979206013596328,nadir
nadir,64,relative_scale_shift,520000,0.03991218449519231,0.039080673395670375,0.08599546085759198,0.0003732458683160635,0.29460301585592147,0.16975181246114268,0.5572534873748203,0.08979206013596328,nadir
nadir,128,metric_raw,520000,0.054825826322115384,0.08114837359189987,0.13073998443012944,0.007492208146131956,0.16720796188264062,0.12897435914730832,0.5447128939178564,0.11403866747698026,nadir
nadir,128,metric_bias_corrected,520000,0.054825826322115384,0.0811483732516949,0.13073998445893312,0.007492209691267748,0.16720796479162686,0.1289743623551799,0.5447058101260442,0.11403866747698026,nadir
nadir,128,metric_scale_shift,520000,0.054825826322115384,0.0558350108733544,0.1141796872315957,0.003017567304464487,0.04211690415602353,0.06493317684215005,0.5188853889710084,0.11403866747698026,nadir
nadir,128,relative_scale_shift,520000,0.054825826322115384,0.05249198855436765,0.10647890088337239,0.0007692465763825637,0.3611254850539069,0.2191082377407248,0.5693574056320867,0.11403866747698026,nadir
oblique,8,metric_raw,520000,0.019645823317307694,0.025854325084044383,0.1005181636466179,0.0013345127146977644,0.02852909795415841,0.04749457848163063,0.5258488271624692,0.09688082791573165,oblique
oblique,8,metric_bias_corrected,520000,0.019645823317307694,0.025854327454933754,0.10051816359870738,0.0013345137192652776,0.02852914313366246,0.04749464930278429,0.5258048257544241,0.09688082791573165,oblique
oblique,8,metric_scale_shift,520000,0.019645823317307694,0.04609248782121218,0.12820797547282972,0.002919875198144179,0.02873178429246444,0.04584299672740279,0.5258368267784569,0.09688082791573165,oblique
oblique,8,relative_scale_shift,520000,0.019645823317307694,0.021771781360186062,0.1001973362471503,0.00025897669792175295,0.16497381437015074,0.17847732231981012,0.5806905820986271,0.09688082791573165,oblique
oblique,16,metric_raw,520000,0.03476500901442308,0.044280122831234565,0.14291059890428345,0.0026765100139838,0.05827402827087127,0.06550133081076247,0.526684430909783,0.13418645093916973,oblique
oblique,16,metric_bias_corrected,520000,0.03476500901442308,0.044280123415360084,0.14291059886116572,0.002676512334896968,0.05827404122439371,0.06550141051403219,0.5266783403121431,0.13418645093916973,oblique
oblique,16,metric_scale_shift,520000,0.03476500901442308,0.08027249124233539,0.20524695090946404,0.005908890471091637,0.05355077063121556,0.06340605042829725,0.5266813856109631,0.13418645093916973,oblique
oblique,16,relative_scale_shift,520000,0.03476500901442308,0.03687376287533687,0.1386847080882597,0.00039495891057527983,0.17100613766384806,0.21116857273751005,0.577032356299962,0.13418645093916973,oblique
oblique,32,metric_raw,520000,0.05622938701923077,0.07123839170199174,0.2017916219055824,0.005911913189521203,0.08155511728771687,0.09132834805070622,0.5309181582751771,0.1841836073222655,oblique
oblique,32,metric_bias_corrected,520000,0.05622938701923077,0.07123839307198157,0.20179162202326034,0.005911913101489728,0.08155511606121045,0.09132829672692076,0.5309103578820372,0.1841836073222655,oblique
oblique,32,metric_scale_shift,520000,0.05622938701923077,0.1338354956150055,0.3257481060730727,0.0128777124441587,0.07947676535496459,0.08908579247029494,0.5309155581441305,0.1841836073222655,oblique
oblique,32,relative_scale_shift,520000,0.05622938701923077,0.05679533076286316,0.18178406710497028,0.001305504875916701,0.2822205597262239,0.25701147991652074,0.5817195186637406,0.1841836073222655,oblique
oblique,64,metric_raw,520000,0.0825225360576923,0.10654668894639382,0.2709314355601002,0.011002354690661797,0.11913234572258884,0.1311457652810149,0.5428602525547687,0.22804580478985856,oblique
oblique,64,metric_bias_corrected,520000,0.0825225360576923,0.10654668837877421,0.27093143529891284,0.011002355034534748,0.11913234459519488,0.13114577394542482,0.5428578864804882,0.22804580478985856,oblique
