group,pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,scene
2025/Day001_Oat,8,metric_raw,320000,0.0181611328125,0.023994720208644866,0.10738742649497149,0.001293851453065872,0.02639356325285358,0.04315431016124949,0.5170060733723929,0.10397916230077066,2025/Day001_Oat
2025/Day001_Oat,8,metric_bias_corrected,320000,0.0181611328125,0.023994721922278403,0.10738742788553907,0.0012938518971204757,0.026393550381504035,0.043154535945552984,0.5169682330459571,0.10397916230077066,2025/Day001_Oat
2025/Day001_Oat,8,metric_scale_shift,320000,0.0181611328125,0.02909524618089199,0.116878946988691,0.002313631507754326,0.02612817584746316,0.030740367147877437,0.5112354235909209,0.10397916230077066,2025/Day001_Oat
2025/Day001_Oat,8,relative_scale_shift,320000,0.0181611328125,0.019144958665966987,0.10240158883456522,-8.44729334115982e-05,0.174564924381163,0.1510141275624841,0.5653660105574511,0.10397916230077066,2025/Day001_Oat
2025/Day001_Oat,16,metric_raw,320000,0.0332500732421875,0.04213895493298769,0.14991334823156455,0.0024196143493056296,0.07203369217103213,0.05661195255363548,0.5175975315138613,0.14457812976867865,2025/Day001_Oat
2025/Day001_Oat,16,metric_bias_corrected,320000,0.0332500732421875,0.04213895290493965,0.1499133470829308,0.002419615226984024,0.07203370228407764,0.05661203976273354,0.5175831798502644,0.14457812976867865,2025/Day001_Oat
2025/Day001_Oat,16,metric_scale_shift,320000,0.0332500732421875,0.051429612216353414,0.173573766811632,0.0043672345727682116,0.06620310321054725,0.040978177045733734,0.5110053340349702,0.14457812976867865,2025/Day001_Oat
2025/Day001_Oat,16,relative_scale_shift,320000,0.0332500732421875,0.03358770416975022,0.14005191872040945,-0.0004951339542865754,0.24870427651283836,0.16493914255188782,0.5580261678666252,0.14457812976867865,2025/Day001_Oat
2025/Day001_Oat,32,metric_raw,320000,0.057202197265625,0.07087355601191521,0.2101607111673647,0.005281300365924836,0.09615574830587904,0.0791397101895776,0.5215274396605689,0.19879419353892092,2025/Day001_Oat
2025/Day001_Oat,32,metric_bias_corrected,320000,0.057202197265625,0.07087355511188508,0.21016071010105258,0.005281301987171173,0.09615576867846971,0.0791397045579023,0.5215233481582102,0.19879419353892092,2025/Day001_Oat
2025/Day001_Oat,32,metric_scale_shift,320000,0.057202197265625,0.08729256503283978,0.25968308926568834,0.00886174018085003,0.08866992433752131,0.051546124491909984,0.5118387620750463,0.19879419353892092,2025/Day001_Oat
2025/Day001_Oat,32,relative_scale_shift,320000,0.057202197265625,0.055096911936998366,0.18770533873669784,-0.0005963090538978577,0.3294288818300979,0.19499921936100606,0.5606217446984358,0.19879419353892092,2025/Day001_Oat
2025/Day001_Oat,64,metric_raw,320000,0.0884613037109375,0.10950029445737601,0.26874603445468676,0.010036643870174885,0.14532509884432515,0.10633098928831408,0.5289463614468679,0.24342527158159127,2025/Day001_Oat
2025/Day001_Oat,64,metric_bias_corrected,320000,0.0884613037109375,0.10950029276311397,0.2687460342279434,0.010036643353104592,0.14532510252244427,0.10633097977183585,0.528942609974415,0.24342527158159127,2025/Day001_Oat
2025/Day001_Oat,64,metric_scale_shift,320000,0.0884613037109375,0.13799117066562175,0.37548035322346757,0.01700232180058956,0.13601440849682295,0.07375107631327037,0.5174781101582371,0.24342527158159127,2025/Day001_Oat
2025/Day001_Oat,64,relative_scale_shift,320000,0.0884613037109375,0.08199991413354873,0.22047335964494308,-0.0012803527534008027,0.42397184971922075,0.2426928231542003,0.572594743436799,0.24342527158159127,2025/Day001_Oat
2025/Day001_Oat,128,metric_raw,320000,0.1217681640625,0.1578969386458397,0.35477251481942446,0.020509268575906753,0.1788466638011476,0.1071746037963602,0.5297701536444027,0.30963753523414644,2025/Day001_Oat
