image,valid_pixels,mae_m,rmse_m,absrel,sqrel,rmse_log,delta_1_25,delta_1_25_2,delta_1_25_3
2011_09_26_drive_0002_sync_image_0000000005_image_02.png,99241,1.6703613193725029,3.03029246292638,0.089787775874111,0.31921631658179367,0.11816618510767847,0.8854203403835108,0.9983877631220968,0.9999093116756179
2011_09_26_drive_0002_sync_image_0000000065_image_02.png,116964,1.5411749297537607,2.4048729187670226,0.115033389763187,0.29248262654085255,0.14018772376491295,0.9007301391881263,0.9895010430559831,0.9997093122670223
2011_09_26_drive_0005_sync_image_0000000059_image_03.png,49395,3.195096088814487,6.023347425393712,0.1381102584353398,0.9982210503418341,0.2477522352005968,0.8063164287883389,0.9517562506326551,0.9717380301649965
2011_09_26_drive_0005_sync_image_0000000119_image_03.png,69217,1.1444335636422358,2.7652830031183324,0.06069973222872402,0.1983021552474839,0.09052107836487264,0.9759163211349813,0.995896961729055,0.9988875565251311
2011_09_26_drive_0013_sync_image_0000000038_image_02.png,50045,4.3224854947613345,8.074063432009906,0.14003740375035031,1.5248767190502335,0.2184782404506009,0.7896293335997602,0.937716055550005,0.9848136676990709
2011_09_26_drive_0013_sync_image_0000000098_image_02.png,70618,2.6718282323411775,5.739022459488273,0.11671354748800357,0.7450162020568225,0.18626162358980325,0.8525588376901073,0.96592936645048,0.9903990484012575
2011_09_26_drive_0020_sync_image_0000000023_image_02.png,33880,5.732127406887068,10.410230603372563,0.2562217811897567,2.513981663474297,0.39844351475652506,0.38090318772136955,0.8444214876033058,0.9250590318772137
2011_09_26_drive_0023_sync_image_0000000035_image_03.png,58395,3.7658780174065924,6.614661223036177,0.13701832883524137,1.0513086478788287,0.20734982883648767,0.8033907012586694,0.9457659046151211,0.9904101378542683
2011_09_26_drive_0023_sync_image_0000000095_image_03.png,53542,2.367267498673111,4.77074715651562,0.1337441542705655,0.8552819857618496,0.18619925465220852,0.8483246796907101,0.9771394419334354,0.9937058757610847
2011_09_26_drive_0023_sync_image_0000000155_image_03.png,56879,2.904975464098434,6.532983262722621,0.12439468487790022,0.9652392325697672,0.2109320477398554,0.859948311327555,0.9240317164507111,0.9817507340143111
2011_09_26_drive_0023_sync_image_0000000218_image_02.png,54300,2.714596210298837,5.802648351299102,0.12517117448447426,0.8364720730802139,0.19008061683590977,0.8716758747697975,0.9566482504604051,0.990902394106814
2011_09_26_drive_0023_sync_image_0000000278_image_02.png,49447,2.3284282450088005,5.024998865842505,0.09799061412314193,0.5851522855301444,0.1501281237594848,0.910914716767448,0.9738710134082957,0.997249580358768
2011_09_26_drive_0023_sync_image_0000000341_image_03.png,74391,1.6808156523215005,3.4612441768369755,0.09639227951347924,0.3380790905691162,0.13385796760152902,0.9268728744068503,0.9891384710516057,0.9995698404376874
2011_09_26_drive_0023_sync_image_0000000401_image_03.png,58093,2.107115410995884,4.429849537037903,0.10072572647389488,0.5208421150096456,0.14526483162638845,0.9126745046735407,0.9824935878677293,0.9956965555230406
2011_09_26_drive_0023_sync_image_0000000461_image_03.png,43997,2.6013318736610036,5.450810807837735,0.11677112085038628,0.8692900609661891,0.17804694201077195,0.8974020955974271,0.9665659022206059,0.9926813191808532
