scene,crop,images,nadir_images,oblique_images,raw_metric_mae_mean_m,raw_metric_rmse_mean_m,raw_metric_absrel_mean,raw_metric_bias_mean_m,scale_shift_mae_mean_m,relative_aligned_mae_mean_m,local_metric_raw_mae_32_m,local_metric_raw_pearson_32,local_metric_raw_sign_32,local_relative_mae_32_m,local_relative_pearson_32,local_relative_sign_32
2025/Day001_Oat,oat,16,8,8,12.166757751409529,12.563689064332497,0.6299608882491178,-12.166757751409529,1.0144992037676275,1.0168381845578551,0.07087355601191521,0.09615574830587904,0.5215274396605689,0.055096911936998366,0.3294288818300979,0.5606217446984358
2025/Day001_Wheat,wheat,20,10,10,12.994904341217994,13.554611621709114,0.6669100800804114,-12.994903794028627,1.379846504703164,1.0928485160693526,0.051021914187669756,0.07952623706848645,0.5433222808066532,0.040280173742771146,0.3295990550125503,0.5757973824234628
2025/Day007_Corn,corn,16,8,8,15.745861942615592,16.325239812133972,0.6717328768566129,-15.745861942615592,1.1385827964404598,1.2602898352197371,0.038439827665686606,0.08399634795627085,0.5103583342816245,0.027392138862609862,0.2647643594608684,0.5434546946402583
