depth_min_m,depth_max_m,depth_range_m,images,valid_pixels,mae_m,rmse_m,absrel,sqrel,rmse_log,delta_1_25,delta_1_25_2,delta_1_25_3
0.0,10.0,0-10,50,1463249,0.7002249617946237,1.2223632227393533,0.09042893272852572,0.18568131923963338,0.1358511288065052,0.9052280233917809,0.9885521876317701,0.9971378760552715
10.0,20.0,10-20,50,1388449,1.792975438605079,2.7908133168571814,0.12732784082106757,0.5344395385393913,0.20239032450754826,0.8071992561484074,0.9375627048598832,0.9915574860869935
20.0,40.0,20-40,50,598059,4.797746257440384,6.536834228140659,0.17070173925034443,1.4407583061802605,0.2717496943933188,0.6925671213040854,0.8882317630869195,0.9708389974902142
40.0,60.0,40-60,50,150994,13.711390504328978,16.57537197732062,0.27797955790314377,5.46948931505556,0.45588330636859703,0.42806998953600806,0.6865372133992079,0.8330397234327191
60.0,80.0,60-80,50,50104,20.149858787772413,24.126296047076476,0.2982242550737333,8.540708696474809,0.505916150212144,0.3518880728085582,0.597736707648092,0.8243852786204694
