variant,pixel_separation,metric,images,mean,median,std
metric_raw,8,local_difference_mae_m,52,0.01890724605528208,0.015376715385913849,0.009103583889156991
metric_raw,8,local_difference_rmse_m,52,0.058575198805045886,0.04255228384188915,0.04629392137463615
metric_raw,8,local_difference_pearson,52,0.04269058106612371,0.03542602412615464,0.04398923851718188
metric_raw,8,local_difference_spearman,52,0.042249497072574096,0.03697809939473809,0.04082193877784012
metric_raw,8,local_difference_sign_agreement,52,0.5202456278613892,0.5219560745599686,0.020652167996847375
metric_raw,16,local_difference_mae_m,52,0.03265401705503464,0.02735176365375519,0.015621849009772908
metric_raw,16,local_difference_rmse_m,52,0.0856362466401637,0.06325971826603266,0.06312659495317881
metric_raw,16,local_difference_pearson,52,0.07397388079766737,0.0661963133378894,0.062079516253818634
metric_raw,16,local_difference_spearman,52,0.05461628478032902,0.050773648363953844,0.05467020094738277
metric_raw,16,local_difference_sign_agreement,52,0.520858204062377,0.5214213775935013,0.02408804552613025
metric_raw,32,local_difference_mae_m,52,0.0532587004345197,0.04567460631132126,0.02573851670810541
metric_raw,32,local_difference_rmse_m,52,0.12347464670309932,0.0938134759259674,0.08684948925968562
metric_raw,32,local_difference_pearson,52,0.10232267561129332,0.10014029881998679,0.08590342340034544
metric_raw,32,local_difference_spearman,52,0.07645672934576372,0.06557991974814027,0.07133567124003956
metric_raw,32,local_difference_sign_agreement,52,0.5255713591972945,0.5251488750108789,0.026666514100849078
metric_raw,64,local_difference_mae_m,52,0.0811052946297022,0.06966800597310066,0.038907811282825354
metric_raw,64,local_difference_rmse_m,52,0.17047068126487655,0.12458154593403123,0.11154836529278907
metric_raw,64,local_difference_pearson,52,0.14902994059748756,0.13900394507115,0.11918325712718847
metric_raw,64,local_difference_spearman,52,0.10937407719701872,0.10408380293425154,0.09580070323137876
metric_raw,64,local_difference_sign_agreement,52,0.5363282378887573,0.5383121092060752,0.03381747925698494
metric_raw,128,local_difference_mae_m,52,0.11932302174568177,0.0978285914182663,0.05754382454396552
metric_raw,128,local_difference_rmse_m,52,0.23078775170904778,0.17285666388001714,0.15089988012821642
metric_raw,128,local_difference_pearson,52,0.17223970620343212,0.17704611693832942,0.1577202993126364
metric_raw,128,local_difference_spearman,52,0.1316641090235232,0.11227883657697407,0.12703329118906534
metric_raw,128,local_difference_sign_agreement,52,0.545697008542607,0.5425363300628538,0.043052357162518734
