pixel_separation,gt_magnitude_lower_m,gt_magnitude_upper_m,gt_magnitude_bin,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
16,0.0,0.02,0.00-0.02 m,metric_scale_shift,788646,0.006020742354617915,0.025834779048193767,0.07082339008687767,0.001927704865669881,-7.863166478789727e-05,0.0068898502587344665,0.5044948952247184,0.00908169630991801
16,0.0,0.02,0.00-0.02 m,relative_scale_shift,788646,0.006020742354617915,0.009157197144937844,0.04273133327588539,-2.931858703291484e-06,0.008506046055121612,0.02909608520817677,0.5129434501258042,0.00908169630991801
16,0.02,0.05,0.02-0.05 m,metric_raw,155313,0.03250899997102625,0.03859309520669734,0.06470261397714626,0.0019932435476894992,0.04373058531524603,0.0845769173581432,0.5357632651484422,0.03325537271629743
16,0.02,0.05,0.02-0.05 m,metric_bias_corrected,155313,0.03250899997102625,0.03859309596656417,0.06470261389828952,0.0019932465211481777,0.04373054788537477,0.08457705914491727,0.5357568265373793,0.03325537271629743
16,0.02,0.05,0.02-0.05 m,metric_scale_shift,155313,0.03250899997102625,0.06734216160189149,0.16074025182372959,0.00467032387443089,0.03830709413886882,0.06754271412238466,0.5280948793726218,0.03325537271629743
16,0.02,0.05,0.02-0.05 m,relative_scale_shift,155313,0.03250899997102625,0.032714869606963334,0.04383662462204512,-2.2030016094657065e-05,0.12225646737728076,0.21574241732996216,0.5803699625916697,0.03325537271629743
16,0.05,0.1,0.05-0.10 m,metric_raw,53956,0.07197647156942694,0.07716189185775355,0.10995575093813922,0.0044668592660083665,0.06297348932604982,0.13043919971296564,0.5674253095114538,0.07317463911644015
16,0.05,0.1,0.05-0.10 m,metric_bias_corrected,53956,0.07197647156942694,0.07716189408922701,0.10995575669791711,0.00446685911135179,0.06297352656332963,0.1304394302839895,0.5674253095114538,0.07317463911644015
16,0.05,0.1,0.05-0.10 m,metric_scale_shift,53956,0.07197647156942694,0.11604511938435161,0.23938251212600173,0.007873382196476588,0.05647927062582212,0.1084151673013454,0.5544147082808214,0.07317463911644015
16,0.05,0.1,0.05-0.10 m,relative_scale_shift,53956,0.07197647156942694,0.06703349426736718,0.07656920774131926,0.0017788767399272852,0.22348847401139507,0.3521510945839826,0.6586663207057603,0.07317463911644015
16,0.1,0.2,0.10-0.20 m,metric_raw,23199,0.13945745236863658,0.1387674361653634,0.15792014650153793,0.013081615703610223,0.08637227916102973,0.15265518775390594,0.5879132721237984,0.1414878398361459
