view_type,images,metric,mean,median,std,min,max
nadir,10,mae_m,9.413088762889803,9.267465340907059,0.45663316190087344,8.76944116508527,10.175941068334451
nadir,10,rmse_m,9.422006986552084,9.273773316759097,0.4534194792017081,8.784062752004543,10.18398303195842
nadir,10,absrel,0.6318140023319286,0.6273686950419529,0.02843149177258102,0.5858205351954378,0.668789979809939
nadir,10,bias_m,-9.413087668511068,-9.267465340907059,0.45663381648377116,-10.175941068334451,-8.76944116508527
nadir,10,median_abs_error_m,9.42714536190033,9.29674243927002,0.44706083013951137,8.747103691101074,10.101806163787842
nadir,10,delta_1_25,4.3805729785406315e-06,1.292628034423366e-06,8.231826473450859e-06,4.3087599963231914e-07,2.853356892996914e-05
nadir,10,delta_1_25_2,0.0005863073361670187,3.3751954106740895e-06,0.0017221892896688547,2.3458804424426267e-06,0.005752338220424672
nadir,10,delta_1_25_3,0.0015108619099266957,1.0819775101878235e-05,0.004349381574431286,5.17051199558783e-06,0.014552741137359439
nadir,10,valid_pixels,20887679.0,20887680.0,2.0976176963403033,20887673.0,20887680.0
oblique,10,mae_m,16.576719919546186,16.57677259517582,1.0082682638387075,14.743864873232008,17.89798308382023
oblique,10,rmse_m,17.687216256866144,17.679571146556086,1.1793145133597887,15.580628767585196,19.222037691907914
oblique,10,absrel,0.7020061578288942,0.7061542175701596,0.04440915790286883,0.6184737638723051,0.7611572923137889
oblique,10,bias_m,-16.576719919546186,-16.57677259517582,1.0082682638387075,-17.89798308382023,-14.743864873232008
oblique,10,median_abs_error_m,14.725322008132935,14.409825682640076,0.8765348803156647,13.200098991394043,15.938820600509644
oblique,10,delta_1_25,0.0,0.0,0.0,0.0,0.0
oblique,10,delta_1_25_2,0.0,0.0,0.0,0.0,0.0
oblique,10,delta_1_25_3,7.187317174526958e-05,0.0,0.00011793502591615604,0.0,0.0003482266082378838
oblique,10,valid_pixels,20832618.3,20885480.5,133524.0924657794,20435459.0,20887680.0
