depth_bin_lower_m,depth_bin_upper_m,depth_range_m,bin_method,valid_pixels,mae_m,rmse_m,absrel,bias_m,delta_1_25,delta_1_25_2,delta_1_25_3
12.984375,14.828125,12.984-14.828,five empirical GT quantile bins,82794013,9.363816390800032,9.377148887532542,0.6383533397372649,-9.363816390800032,7.258978979554959e-06,0.00011468220534255296,0.0017058359038593768
14.828125,14.953125,14.828-14.953,five empirical GT quantile bins,83118157,9.422311929330744,9.444302628102912,0.6332986067424,-9.42230917914553,3.043859598571224e-06,0.0013563462433364589,0.002087666597323615
14.953125,16.328125,14.953-16.328,five empirical GT quantile bins,84593378,9.847614423326617,9.882305893082668,0.6445804332478157,-9.847614423326617,7.210966324101633e-07,2.7661739669504625e-06,9.788000190747791e-06
16.328125,23.375,16.328-23.375,five empirical GT quantile bins,83312430,13.483719677480417,13.606977163643005,0.6939818438955615,-13.483719677480417,0.0,0.0,0.0
23.375,51.90625,23.375-51.906,five empirical GT quantile bins,83384319,22.848663395449936,23.40819830048695,0.7243870017029733,-22.848663395449936,0.0,0.0,0.00017996189427415003
