date,filename,growth_stage,ground_depth_m,canopy_depth_m,canopy_depth_p25_m,canopy_depth_p10_m,canopy_depth_p05_m,depth_difference_median_m,depth_difference_p25_m,depth_difference_p10_m,depth_difference_p05_m,vegetation_pixel_count,ground_candidate_pixel_count,ground_candidate_fraction,reliability_flag,interpretation
2025-08-22,frame1123.png,early,5.68670654296875,5.591219902038574,5.2220988273620605,4.941624641418457,4.853343486785889,0.09548664093017578,0.46460771560668945,0.745081901550293,0.8333630561828613,3138915,4717000,0.5686969521604939,GROUND_REFERENCE_AVAILABLE,canopy-ground depth difference proxy; not plant height
2025-08-22,frame1464.png,early,5.737148761749268,5.801236152648926,5.388355255126953,5.158864498138428,5.046058177947998,-0.0640873908996582,0.34879350662231445,0.5782842636108398,0.6910905838012695,6565578,1563373,0.18848536361882717,GROUND_REFERENCE_AVAILABLE,canopy-ground depth difference proxy; not plant height
2025-08-22,frame515.png,early,5.286980152130127,5.23875093460083,4.888890743255615,4.6062912940979,4.435924530029297,0.048229217529296875,0.3980894088745117,0.6806888580322266,0.8510556221008301,3878773,3850028,0.4641719714506173,GROUND_REFERENCE_AVAILABLE,canopy-ground depth difference proxy; not plant height
2025-09-12,frame0271.png,middle,6.719511032104492,5.561049461364746,5.251234531402588,5.0098795890808105,4.885103225708008,1.158461570739746,1.4682765007019043,1.7096314430236816,1.8344078063964844,7003710,1036835,0.12500421971450618,GROUND_REFERENCE_AVAILABLE,canopy-ground depth difference proxy; not plant height
2025-09-12,frame1108.png,middle,7.737302303314209,6.087658405303955,5.736769676208496,5.607397079467773,5.544483184814453,1.649643898010254,2.000532627105713,2.1299052238464355,2.192819118499756,7922532,320633,0.038656563464506175,GROUND_REFERENCE_AVAILABLE,canopy-ground depth difference proxy; not plant height
2025-09-12,frame1184.png,middle,5.361850261688232,5.791534900665283,5.418218612670898,4.983979225158691,4.821457386016846,-0.4296846389770508,-0.056368350982666016,0.377871036529541,0.5403928756713867,4052414,3852433,0.46446192611882714,GROUND_REFERENCE_AVAILABLE,canopy-ground depth difference proxy; not plant height
2025-10-03,frame132.png,late,6.9336838722229,6.768497943878174,6.201077461242676,5.976898670196533,5.889611721038818,nan,nan,nan,nan,4153152,3088111,0.37231276523919754,NO_GROUND_REFERENCE,canopy-ground depth difference proxy; not plant height
2025-10-03,frame266.png,late,6.737531661987305,6.730064868927002,6.201052665710449,5.810598373413086,5.701396942138672,nan,nan,nan,nan,1815959,4959002,0.5978735050154321,NO_GROUND_REFERENCE,canopy-ground depth difference proxy; not plant height
2025-10-03,frame73.png,late,6.744383811950684,6.298810005187988,5.986807823181152,5.763925075531006,5.6751580238342285,nan,nan,nan,nan,2403473,4726214,0.5698078221450618,NO_GROUND_REFERENCE,canopy-ground depth difference proxy; not plant height
