view_type,variant,pixel_separation,pairs,local_difference_mae_m,local_difference_rmse_m,local_difference_pearson,sign_agreement,slope,intercept_m,r2
nadir,metric_raw,32,520000,0.03552796996465096,0.0707907799313328,0.10784048468148805,0.5274543358281246,0.06370059671948723,0.0012284888856956807,0.011629570136337586
nadir,metric_scale_shift,32,520000,0.02600206161095546,0.06415680196817537,0.008862466604645467,0.5099033256749476,0.000632022260801809,0.00013386044260230907,7.854331431811357e-05
nadir,relative_scale_shift,32,520000,0.02527012854356032,0.06218723111712924,0.2436955842045114,0.5437491101662977,0.046856772258738646,-0.00038272659789072874,0.05938753776077499
oblique,metric_raw,32,520000,0.07102351214518914,0.19861323070553943,0.0892472861931705,0.5331580249163597,0.049301412920237424,0.0041099519306689435,0.007965078092845634
oblique,metric_scale_shift,32,520000,0.13381666560448133,0.3219606096731321,0.08551707105740518,0.5331554213260086,0.13346588672442777,0.010663120388204729,0.007313169442237144
oblique,relative_scale_shift,32,520000,0.05665674650485699,0.17843115028500653,0.2900446680694379,0.5833161930301887,0.15445874386091246,-0.00018928954577529668,0.08412590947551002
