depth_bin_lower_m,depth_bin_upper_m,depth_range_m,bin_method,valid_pixels,mae_m,rmse_m,absrel,bias_m,delta_1_25,delta_1_25_2,delta_1_25_3
9.59375,14.9921875,9.594-14.992,five empirical GT quantile bins,215518090,9.348665293731228,9.368109826257935,0.6336144896405146,-9.348664233076292,4.134223721080676e-06,0.0005680080034116858,0.0025859731774720163
14.9921875,15.90625,14.992-15.906,five empirical GT quantile bins,218507938,9.915329564788411,9.936106842879434,0.6478776283281926,-9.915329564788411,8.969925843151749e-07,2.8786139568073724e-06,0.0007058736694499401
15.90625,18.4375,15.906-18.438,five empirical GT quantile bins,213087042,11.866305480548297,11.907789553018233,0.6667282052738358,-11.866305480548297,3.89512188169565e-07,1.764537141587427e-06,4.979185923468776e-06
18.4375,25.109375,18.438-25.109,five empirical GT quantile bins,220237947,13.802122210248275,13.95137318948973,0.6607287027718842,-13.802122210248275,0.0,0.0,0.013454452515396904
25.109375,61.40625,25.109-61.406,five empirical GT quantile bins,216556986,22.94233417654883,23.64606038352546,0.6762160037106154,-22.94233417654883,0.0,3.15159539577264e-05,0.014122051920319947
