view_type,images,metric,mean,median,std,min,max
nadir,26,mae_m,10.360811430255511,9.909452193240288,1.2509052643394563,8.76944116508527,12.921889452605514
nadir,26,rmse_m,10.372383848137714,9.912803973260324,1.2487695047544691,8.784062752004543,12.923181250876263
nadir,26,absrel,0.6455341064698227,0.6449392472589881,0.03235392795283193,0.5858205351954378,0.7155422871790305
nadir,26,bias_m,-10.360811009340615,-9.909452193240288,1.2509056751410739,-12.921889452605514,-8.76944116508527
nadir,26,median_abs_error_m,10.409030859286968,9.936128377914429,1.2704689390053525,8.747103691101074,12.947962760925293
nadir,26,delta_1_25,2.154380119550847e-06,8.856895547997671e-07,5.433188809701226e-06,0.0,2.853356892996914e-05
nadir,26,delta_1_25_2,0.0002272613112593185,2.89644421975059e-06,0.0011051321837503693,1.0532524435456691e-06,0.005752338220424672
nadir,26,delta_1_25_3,0.0012992771171025522,7.899394594083464e-06,0.0043520162395999365,2.728881331004688e-06,0.018000419385972976
nadir,26,valid_pixels,20887679.615384616,20887680.0,1.3888823142513682,20887673.0,20887680.0
oblique,26,mae_m,16.81226556700456,16.871354633938385,2.29614221364288,12.441002448093622,22.347098819651222
oblique,26,rmse_m,17.83204286177174,18.149197999224498,2.5244106188570474,13.107778705923126,24.164507249444902
oblique,26,absrel,0.6685159644263281,0.6664853348438908,0.05874529834607288,0.5303067442742473,0.7644900706414647
oblique,26,bias_m,-16.81226556700456,-16.871354633938385,2.29614221364288,-22.347098819651222,-12.441002448093622
oblique,26,median_abs_error_m,14.86062861405886,14.883848547935486,2.0342633958214007,10.495657444000244,19.53537940979004
oblique,26,delta_1_25,0.0,0.0,0.0,0.0,0.0
oblique,26,delta_1_25_2,1.2567738710785191e-05,0.0,5.616684375700588e-05,0.0,0.0002913313344061923
oblique,26,delta_1_25_3,0.011109588690638892,3.591812621169799e-07,0.04029763522622439,0.0,0.2100175751552255
oblique,26,valid_pixels,20801189.769230768,20874453.0,127214.60516940766,20435459.0,20887680.0
