pixel_separation,pairs,mean_abs_gt_difference_m,median_abs_gt_difference_m,std_abs_gt_difference_m,p05_abs_gt_difference_m,p25_abs_gt_difference_m,p75_abs_gt_difference_m,p95_abs_gt_difference_m
8,1040000,0.01366025390625,0.0,0.07002780202853723,0.0,0.0,0.015625,0.046875
16,1040000,0.024608856670673078,0.0078125,0.09667378141421964,0.0,0.0,0.015625,0.09375
32,1040000,0.04065565655048077,0.015625,0.13143446853352733,0.0,0.0,0.03125,0.15625
64,1040000,0.061217360276442305,0.015625,0.16215001779368401,0.0,0.0078125,0.046875,0.28125
128,1040000,0.0860708759014423,0.03125,0.20616020953236552,0.0,0.015625,0.078125,0.375
