scene,year,date,crop,filename,frame_id,camera_type,view_type,nadir_or_oblique,view_verticality_score,width,height,corresponding_depth_filename,intrinsics_available,extrinsics_available,camera_model,local_rgb_path,local_depth_path,source_rgb,source_depth,source_revision,variant,pixel_separation,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,metric_scale_shift,32,20000,0.028726171875,0.028982292318344115,0.08082501573023322,0.0008394381046295166,-0.07985946156823495,-0.045176525714908836,0.491198541272179,0.08072640965879843
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,relative_scale_shift,32,20000,0.028726171875,0.02748579535484314,0.07538923689068833,0.0014336937427520751,0.6220484099215953,0.21815262854985887,0.5587348341398415,0.08072640965879843
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,metric_raw,64,20000,0.047293359375,0.07270879158973693,0.12738814403157595,0.022262091398239137,0.08466869348415909,0.044674691464320446,0.49789056104779295,0.11606661100223732
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,metric_bias_corrected,64,20000,0.047293359375,0.07270878753662109,0.12738813594047488,0.02226209383010864,0.08466885442467356,0.04467495474687681,0.49789056104779295,0.11606661100223732
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,metric_scale_shift,64,20000,0.047293359375,0.04756591835021973,0.11625008760466263,0.0012305063247680663,-0.0846667111878482,-0.04467495971319199,0.5017945973175493,0.11606661100223732
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,relative_scale_shift,64,20000,0.047293359375,0.04455545525550842,0.10636183212822459,0.0023790039539337156,0.6642281776825841,0.278408147195243,0.5680372772495434,0.11606661100223732
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,metric_raw,128,20000,0.059367578125,0.10835668466091156,0.17543938685648172,0.04264161913394928,-0.062083879637677634,-0.04337269983691798,0.4672275829606966,0.14410228983736117
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,metric_bias_corrected,128,20000,0.059367578125,0.10835668106079102,0.17543938400062276,0.04264162073135376,-0.06208387455096816,-0.04337277360098672,0.4672275829606966,0.14410228983736117
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,metric_scale_shift,128,20000,0.059367578125,0.05945995225906372,0.1439632534234872,0.0008399868965148926,0.062083716706985245,0.04337181054403243,0.532654742292304,0.14410228983736117
2025/Day001_Oat,2025,Day001,oat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999924531099396,5280,3956,1_depth.tif,True,True,OPENCV,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop\2025\Day001_Oat\images\1.JPG,C:\Users\81902\Documents\Codex\2026-09-20\depth-anything-v2-python-uav-rgb\data\uav3dcrop_depth\2025\Day001_Oat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/resolve/main/2025/Day001_Oat/images/1.JPG?download=true,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/resolve/main/2025/Day001_Oat_depth/1_depth.tif?download=true,main,relative_scale_shift,128,20000,0.059367578125,0.053840291786193845,0.12433294300638027,0.003074477195739746,0.7792457585091187,0.33678926218101785,0.57166392092257,0.14410228983736117
