date,filename,local_path,width,height,format,available_metadata,exif_values,growth_stage,source,raw_rgb_frame,documented_flight_altitude,camera_metadata
2025-08-22,frame1123.png,data\rice_uav\2025-08-22\frame1123.png,3840,2160,PNG,ExposureTime; FNumber; FocalLength; FocalLengthIn35mmFilm; GPS_GPSAltitude; GPS_GPSAltitudeRef; GPS_GPSLatitude; GPS_GPSLatitudeRef; GPS_GPSLongitude; GPS_GPSLongitudeRef; ISOSpeedRatings; ImageUniqueID,"{""ImageUniqueID"": ""00000000000000000000000003ABFCB8"", ""FocalLength"": ""24.0"", ""FocalLengthIn35mmFilm"": ""24"", ""ISOSpeedRatings"": ""100"", ""ExposureTime"": ""0.0024999997118720784"", ""FNumber"": ""1.7000000477745212"", ""GPS_GPSLatitudeRef"": ""N"", ""GPS_GPSLatitude"": ""(31.46910679905597, 0.0, 0.0)"", ""GPS_GPSLongitudeRef"": ""E"", ""GPS_GPSLongitude"": ""(74.4144748188336, 0.0, 0.0)"", ""GPS_GPSAltitudeRef"": ""b'\\x00'"", ""GPS_GPSAltitude"": ""390.9950198052548""}",early,https://github.com/LUMS-WIT/infrastructure-free-uav-phenotyping/blob/main/data/2025-08-22/frame1123.png,true,6 m orthomosaic flight / 10 m DEM flight; frame-specific altitude not published,Not published in repository; PNG EXIF inspected
2025-08-22,frame1464.png,data\rice_uav\2025-08-22\frame1464.png,3840,2160,PNG,ExposureTime; FNumber; FocalLength; FocalLengthIn35mmFilm; GPS_GPSAltitude; GPS_GPSAltitudeRef; GPS_GPSLatitude; GPS_GPSLatitudeRef; GPS_GPSLongitude; GPS_GPSLongitudeRef; ISOSpeedRatings; ImageUniqueID,"{""ImageUniqueID"": ""0000000000000000000000000DD83468"", ""FocalLength"": ""24.0"", ""FocalLengthIn35mmFilm"": ""24"", ""ISOSpeedRatings"": ""100"", ""ExposureTime"": ""0.0024999997118720784"", ""FNumber"": ""1.7000000477745212"", ""GPS_GPSLatitudeRef"": ""N"", ""GPS_GPSLatitude"": ""(31.46902679033236, 0.0, 0.0)"", ""GPS_GPSLongitudeRef"": ""E"", ""GPS_GPSLongitude"": ""(74.41433815297043, 0.0, 0.0)"", ""GPS_GPSAltitudeRef"": ""b'\\x00'"", ""GPS_GPSAltitude"": ""390.9950198052548""}",early,https://github.com/LUMS-WIT/infrastructure-free-uav-phenotyping/blob/main/data/2025-08-22/frame1464.png,true,6 m orthomosaic flight / 10 m DEM flight; frame-specific altitude not published,Not published in repository; PNG EXIF inspected
2025-08-22,frame515.png,data\rice_uav\2025-08-22\frame515.png,3840,2160,PNG,ExposureTime; FNumber; FocalLength; FocalLengthIn35mmFilm; GPS_GPSAltitude; GPS_GPSAltitudeRef; GPS_GPSLatitude; GPS_GPSLatitudeRef; GPS_GPSLongitude; GPS_GPSLongitudeRef; ISOSpeedRatings; ImageUniqueID,"{""ImageUniqueID"": ""0000000000000000000000000FC56E08"", ""FocalLength"": ""24.0"", ""FocalLengthIn35mmFilm"": ""24"", ""ISOSpeedRatings"": ""100"", ""ExposureTime"": ""0.0024999997118720784"", ""FNumber"": ""1.7000000477745212"", ""GPS_GPSLatitudeRef"": ""N"", ""GPS_GPSLatitude"": ""(31.46920018151016, 0.0, 0.0)"", ""GPS_GPSLongitudeRef"": ""E"", ""GPS_GPSLongitude"": ""(74.4143987500365, 0.0, 0.0)"", ""GPS_GPSAltitudeRef"": ""b'\\x00'"", ""GPS_GPSAltitude"": ""390.9950198052548""}",early,https://github.com/LUMS-WIT/infrastructure-free-uav-phenotyping/blob/main/data/2025-08-22/frame515.png,true,6 m orthomosaic flight / 10 m DEM flight; frame-specific altitude not published,Not published in repository; PNG EXIF inspected
2025-09-12,frame0271.png,data\rice_uav\2025-09-12\frame0271.png,3840,2160,PNG,ExposureTime; FNumber; FocalLength; FocalLengthIn35mmFilm; GPS_GPSAltitude; GPS_GPSAltitudeRef; GPS_GPSLatitude; GPS_GPSLatitudeRef; GPS_GPSLongitude; GPS_GPSLongitudeRef; ISOSpeedRatings; ImageUniqueID,"{""ImageUniqueID"": ""00000000000000000000000010455C08"", ""FocalLength"": ""24.0"", ""FocalLengthIn35mmFilm"": ""24"", ""ISOSpeedRatings"": ""100"", ""ExposureTime"": ""0.0007999998053535819"", ""FNumber"": ""1.7000000477745212"", ""GPS_GPSLatitudeRef"": ""N"", ""GPS_GPSLatitude"": ""(31.46904385267733, 0.0, 0.0)"", ""GPS_GPSLongitudeRef"": ""E"", ""GPS_GPSLongitude"": ""(74.41430720982582, 0.0, 0.0)"", ""GPS_GPSAltitudeRef"": ""b'\\x00'"", ""GPS_GPSAltitude"": ""307.81700573260684""}",middle,https://github.com/LUMS-WIT/infrastructure-free-uav-phenotyping/blob/main/data/2025-09-12/frame0271.png,true,6 m orthomosaic flight / 10 m DEM flight; frame-specific altitude not published,Not published in repository; PNG EXIF inspected
2025-09-12,frame1108.png,data\rice_uav\2025-09-12\frame1108.png,3840,2160,PNG,ExposureTime; FNumber; FocalLength; FocalLengthIn35mmFilm; GPS_GPSAltitude; GPS_GPSAltitudeRef; GPS_GPSLatitude; GPS_GPSLatitudeRef; GPS_GPSLongitude; GPS_GPSLongitudeRef; ISOSpeedRatings; ImageUniqueID,"{""ImageUniqueID"": ""00000000000000000000000006723908"", ""FocalLength"": ""24.0"", ""FocalLengthIn35mmFilm"": ""24"", ""ISOSpeedRatings"": ""100"", ""ExposureTime"": ""0.0009999999313149602"", ""FNumber"": ""1.7000000477745212"", ""GPS_GPSLatitudeRef"": ""N"", ""GPS_GPSLatitude"": ""(31.468933178336485, 0.0, 0.0)"", ""GPS_GPSLongitudeRef"": ""E"", ""GPS_GPSLongitude"": ""(74.4142994740437, 0.0, 0.0)"", ""GPS_GPSAltitudeRef"": ""b'\\x00'"", ""GPS_GPSAltitude"": ""307.9169966314556""}",middle,https://github.com/LUMS-WIT/infrastructure-free-uav-phenotyping/blob/main/data/2025-09-12/frame1108.png,true,6 m orthomosaic flight / 10 m DEM flight; frame-specific altitude not published,Not published in repository; PNG EXIF inspected
2025-09-12,frame1184.png,data\rice_uav\2025-09-12\frame1184.png,3840,2160,PNG,ExposureTime; FNumber; FocalLength; FocalLengthIn35mmFilm; GPS_GPSAltitude; GPS_GPSAltitudeRef; GPS_GPSLatitude; GPS_GPSLatitudeRef; GPS_GPSLongitude; GPS_GPSLongitudeRef; ISOSpeedRatings; ImageUniqueID,"{""ImageUniqueID"": ""0000000000000000000000000AFB0CE8"", ""FocalLength"": ""24.0"", ""FocalLengthIn35mmFilm"": ""24"", ""ISOSpeedRatings"": ""100"", ""ExposureTime"": ""0.0007999998053535819"", ""FNumber"": ""1.7000000477745212"", ""GPS_GPSLatitudeRef"": ""N"", ""GPS_GPSLatitude"": ""(31.46884925081368, 0.0, 0.0)"", ""GPS_GPSLongitudeRef"": ""E"", ""GPS_GPSLongitude"": ""(74.41425434867999, 0.0, 0.0)"", ""GPS_GPSAltitudeRef"": ""b'\\x00'"", ""GPS_GPSAltitude"": ""307.81700573260684""}",middle,https://github.com/LUMS-WIT/infrastructure-free-uav-phenotyping/blob/main/data/2025-09-12/frame1184.png,true,6 m orthomosaic flight / 10 m DEM flight; frame-specific altitude not published,Not published in repository; PNG EXIF inspected
2025-10-03,frame132.png,data\rice_uav\2025-10-03\frame132.png,3840,2160,PNG,ExposureTime; FNumber; FocalLength; FocalLengthIn35mmFilm; GPS_GPSAltitude; GPS_GPSAltitudeRef; GPS_GPSLatitude; GPS_GPSLatitudeRef; GPS_GPSLongitude; GPS_GPSLongitudeRef; ISOSpeedRatings; ImageUniqueID,"{""ImageUniqueID"": ""000000000000000000000000040D5A80"", ""FocalLength"": ""24.0"", ""FocalLengthIn35mmFilm"": ""24"", ""ISOSpeedRatings"": ""110"", ""ExposureTime"": ""0.0009999999313149602"", ""FNumber"": ""1.7000000477745212"", ""GPS_GPSLatitudeRef"": ""N"", ""GPS_GPSLatitude"": ""(31.469259439305553, 0.0, 0.0)"", ""GPS_GPSLongitudeRef"": ""E"", ""GPS_GPSLongitude"": ""(74.41449029047237, 0.0, 0.0)"", ""GPS_GPSAltitudeRef"": ""b'\\x00'"", ""GPS_GPSAltitude"": ""259.14099175309946""}",late,https://github.com/LUMS-WIT/infrastructure-free-uav-phenotyping/blob/main/data/2025-10-03/frame132.png,true,6 m orthomosaic flight / 10 m DEM flight; frame-specific altitude not published,Not published in repository; PNG EXIF inspected
2025-10-03,frame266.png,data\rice_uav\2025-10-03\frame266.png,3840,2160,PNG,ExposureTime; FNumber; FocalLength; FocalLengthIn35mmFilm; GPS_GPSAltitude; GPS_GPSAltitudeRef; GPS_GPSLatitude; GPS_GPSLatitudeRef; GPS_GPSLongitude; GPS_GPSLongitudeRef; ISOSpeedRatings; ImageUniqueID,"{""ImageUniqueID"": ""000000000000000000000000080CB6F8"", ""FocalLength"": ""24.0"", ""FocalLengthIn35mmFilm"": ""24"", ""ISOSpeedRatings"": ""110"", ""ExposureTime"": ""0.0009999999313149602"", ""FNumber"": ""1.7000000477745212"", ""GPS_GPSLatitudeRef"": ""N"", ""GPS_GPSLatitude"": ""(31.46920018151016, 0.0, 0.0)"", ""GPS_GPSLongitudeRef"": ""E"", ""GPS_GPSLongitude"": ""(74.41445161138748, 0.0, 0.0)"", ""GPS_GPSAltitudeRef"": ""b'\\x00'"", ""GPS_GPSAltitude"": ""259.14099175309946""}",late,https://github.com/LUMS-WIT/infrastructure-free-uav-phenotyping/blob/main/data/2025-10-03/frame266.png,true,6 m orthomosaic flight / 10 m DEM flight; frame-specific altitude not published,Not published in repository; PNG EXIF inspected
2025-10-03,frame73.png,data\rice_uav\2025-10-03\frame73.png,3840,2160,PNG,ExposureTime; FNumber; FocalLength; FocalLengthIn35mmFilm; GPS_GPSAltitude; GPS_GPSAltitudeRef; GPS_GPSLatitude; GPS_GPSLatitudeRef; GPS_GPSLongitude; GPS_GPSLongitudeRef; ISOSpeedRatings; ImageUniqueID,"{""ImageUniqueID"": ""000000000000000000000000024AC6D8"", ""FocalLength"": ""24.0"", ""FocalLengthIn35mmFilm"": ""24"", ""ISOSpeedRatings"": ""180"", ""ExposureTime"": ""0.0009999999313149602"", ""FNumber"": ""1.7000000477745212"", ""GPS_GPSLatitudeRef"": ""N"", ""GPS_GPSLatitude"": ""(31.469265203694448, 0.0, 0.0)"", ""GPS_GPSLongitudeRef"": ""E"", ""GPS_GPSLongitude"": ""(74.41454315195342, 0.0, 0.0)"", ""GPS_GPSAltitudeRef"": ""b'\\x00'"", ""GPS_GPSAltitude"": ""259.24100386124155""}",late,https://github.com/LUMS-WIT/infrastructure-free-uav-phenotyping/blob/main/data/2025-10-03/frame73.png,true,6 m orthomosaic flight / 10 m DEM flight; frame-specific altitude not published,Not published in repository; PNG EXIF inspected
