group,pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,crop
corn,8,metric_raw,320000,0.0083127197265625,0.014246426646411419,0.06555843259547021,0.0009363190069794655,0.02805377355523294,0.012758078294199306,0.5070745927751398,0.0634838222200324,corn
corn,8,metric_bias_corrected,320000,0.0083127197265625,0.014246425300836562,0.06555843536602364,0.0009363209664821625,0.028053618032190097,0.012758123270822576,0.5070625713770511,0.0634838222200324,corn
corn,8,metric_scale_shift,320000,0.0083127197265625,0.022676549133658408,0.0797074826509408,0.0022094584554433823,0.029991476106904433,0.012139319711363684,0.505812345975837,0.0634838222200324,corn
corn,8,relative_scale_shift,320000,0.0083127197265625,0.010332511937618256,0.07683307088338319,0.00039030357599258424,0.1688675561043052,0.08418602059732837,0.5472741479834105,0.0634838222200324,corn
corn,16,metric_raw,320000,0.0149690185546875,0.024089988920837642,0.09455355759254985,0.0017132916130125522,0.08270720451556013,0.024446879913957813,0.511420577588796,0.09219064295528276,corn
corn,16,metric_bias_corrected,320000,0.0149690185546875,0.024089987432956695,0.09455355806522604,0.0017132917881011963,0.08270720192399923,0.024446997940121423,0.5114126740748937,0.09219064295528276,corn
corn,16,metric_scale_shift,320000,0.0149690185546875,0.03938616546094417,0.12307766420806485,0.004126198127865791,0.08080938920684153,0.023373686210078695,0.5106539367402747,0.09219064295528276,corn
corn,16,relative_scale_shift,320000,0.0149690185546875,0.017658237195014952,0.10444474763457938,0.0008969604849815368,0.2687172593432422,0.09618084238462189,0.5428370453503628,0.09219064295528276,corn
corn,32,metric_raw,320000,0.0244693115234375,0.03874545396715402,0.13002341781628945,0.003532356472313404,0.10446040253479477,0.03110326043867899,0.510889801179082,0.1254193340808568,corn
corn,32,metric_bias_corrected,320000,0.0244693115234375,0.0387454505443573,0.13002341756129723,0.00353235684633255,0.10446041027212921,0.0311033725265977,0.5108719001360479,0.1254193340808568,corn
corn,32,metric_scale_shift,320000,0.0244693115234375,0.06614000213444234,0.18738689513837856,0.008411732211709022,0.10573834016195868,0.03205837850122765,0.5119220946607156,0.1254193340808568,corn
corn,32,relative_scale_shift,320000,0.0244693115234375,0.027953649663925172,0.13549171302576443,0.001416814911365509,0.3066464088480743,0.11997970784070999,0.5446690693844428,0.1254193340808568,corn
corn,64,metric_raw,320000,0.0365860107421875,0.05947776161655784,0.1682579724461989,0.00682460668310523,0.12682951121307753,0.049322665352152656,0.5163014671320418,0.15864289892559028,corn
corn,64,metric_bias_corrected,320000,0.0365860107421875,0.05947776307463646,0.16825797222558211,0.006824605184793472,0.1268295125327431,0.0493226668091697,0.5162964666820014,0.15864289892559028,corn
corn,64,metric_scale_shift,320000,0.0365860107421875,0.1071425417393446,0.27583201793734646,0.01692997634112835,0.1240560706673775,0.04329141921923268,0.5109059815383384,0.15864289892559028,corn
corn,64,relative_scale_shift,320000,0.0365860107421875,0.04061714606285095,0.16446550911433586,0.0030497278213500977,0.37216338734591736,0.13854476352048023,0.5444339990599154,0.15864289892559028,corn
corn,128,metric_raw,320000,0.054918798828125,0.09314692052453756,0.2195607536736495,0.013788832713663579,0.13965338703224608,0.06565447685879366,0.5266053835327235,0.1978497361214666,corn
corn,128,metric_bias_corrected,320000,0.054918798828125,0.09314692093133926,0.21956075553731835,0.013788833451271057,0.1396533795091303,0.06565445243962088,0.5265965869106263,0.1978497361214666,corn
corn,128,metric_scale_shift,320000,0.054918798828125,0.17503369308710098,0.41984937557693935,0.03499753442406654,0.1438067291414366,0.05423055967957388,0.5108154468684025,0.1978497361214666,corn
corn,128,relative_scale_shift,320000,0.054918798828125,0.06164368153810501,0.19688960831978922,0.00616723552942276,0.4486983985152293,0.1632943802279247,0.5496833216045038,0.1978497361214666,corn
oat,8,metric_raw,320000,0.0181611328125,0.023994720208644866,0.10738742649497149,0.001293851453065872,0.02639356325285358,0.04315431016124949,0.5170060733723929,0.10397916230077066,oat
oat,8,metric_bias_corrected,320000,0.0181611328125,0.023994721922278403,0.10738742788553907,0.0012938518971204757,0.026393550381504035,0.043154535945552984,0.5169682330459571,0.10397916230077066,oat
oat,8,metric_scale_shift,320000,0.0181611328125,0.02909524618089199,0.116878946988691,0.002313631507754326,0.02612817584746316,0.030740367147877437,0.5112354235909209,0.10397916230077066,oat
