group,pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,view_type
nadir,8,metric_raw,320000,0.0071577392578125,0.01208927291482687,0.03847963007017049,0.0004700189366936684,0.027231177160070744,0.017711218913544054,0.5070486458449113,0.03381594486244812,nadir
nadir,8,metric_bias_corrected,320000,0.0071577392578125,0.012089272192120552,0.038479628746538985,0.0004700200349092484,0.027231232955463123,0.01771140456763976,0.5070023341113704,0.03381594486244812,nadir
nadir,8,metric_scale_shift,320000,0.0071577392578125,0.007665865004062653,0.033975954268834055,0.0003195230066776276,-0.006143908108099048,-0.00284940918398155,0.4976103145492942,0.03381594486244812,nadir
nadir,8,relative_scale_shift,320000,0.0071577392578125,0.007425570043921471,0.03350313948971326,8.51463109254837e-05,0.13575258903827195,0.09869042606058516,0.5479048571746138,0.03381594486244812,nadir
nadir,16,metric_raw,320000,0.0135858642578125,0.021266601395606995,0.052726584152452134,0.0010610998153686524,0.06839432652555891,0.023435259904086972,0.5085824683191984,0.04939348495708057,nadir
nadir,16,metric_bias_corrected,320000,0.0135858642578125,0.02126660107076168,0.052726584794359335,0.0010611008495092391,0.0683942806816019,0.023435293908746047,0.5085628213104555,0.04939348495708057,nadir
nadir,16,metric_scale_shift,320000,0.0135858642578125,0.014280140960216523,0.04954641392460464,0.0006614249289035797,-0.012446070885053994,0.000528455543804062,0.4989292380235109,0.04939348495708057,nadir
nadir,16,relative_scale_shift,320000,0.0135858642578125,0.013780852925777435,0.04834432123323656,0.00020929189324378968,0.20980607235468327,0.11108987178092637,0.5450473165460559,0.04939348495708057,nadir
nadir,32,metric_raw,320000,0.0241851806640625,0.03611518097370863,0.0778686218790901,0.002076261605322361,0.09355452169302819,0.03350672355245623,0.5106241734576,0.07106343503073084,nadir
nadir,32,metric_bias_corrected,320000,0.0241851806640625,0.03611517970561981,0.07786862265583502,0.002076262438297272,0.09355452169157114,0.03350676210703842,0.5106189463119875,0.07106343503073084,nadir
nadir,32,metric_scale_shift,320000,0.0241851806640625,0.025155299645662307,0.07150811315599455,0.00116164128780365,-0.0278420028067676,-0.0010885148492473617,0.49915058883795327,0.07106343503073084,nadir
nadir,32,relative_scale_shift,320000,0.0241851806640625,0.02402621530890465,0.06858286399318392,0.0003196118474006653,0.2676066355092343,0.14036089090236406,0.5520545295830306,0.07106343503073084,nadir
nadir,64,metric_raw,320000,0.0395564453125,0.05831378486454487,0.10787400635957073,0.004551788720488548,0.1225644154994942,0.04708878355659274,0.5140894287032427,0.09926980665956248,nadir
nadir,64,metric_bias_corrected,320000,0.0395564453125,0.058313786166906356,0.10787400669201613,0.004551788932085037,0.12256442442947403,0.047088745056486185,0.5140848608871612,0.09926980665956248,nadir
nadir,64,metric_scale_shift,320000,0.0395564453125,0.04090427601635456,0.09990433449301413,0.002525567266345024,-0.030272594831594453,-0.004576289340221053,0.49519694139035186,0.09926980665956248,nadir
nadir,64,relative_scale_shift,320000,0.0395564453125,0.03838019143342972,0.09414765632211496,0.000726795357465744,0.32201020084804566,0.18486064538117555,0.5625585251435437,0.09926980665956248,nadir
nadir,128,metric_raw,320000,0.054020556640625,0.08630966634750366,0.14475966854702826,0.009391567566990852,0.10801961305531985,0.049035551344049806,0.5192398931255775,0.12475684603752298,nadir
nadir,128,metric_bias_corrected,320000,0.054020556640625,0.08630966685116291,0.14475967003776946,0.009391568580269814,0.10801959249168998,0.0490355372930968,0.5192315695724191,0.12475684603752298,nadir
nadir,128,metric_scale_shift,320000,0.054020556640625,0.05591969098746777,0.1257476394553585,0.004837537088990211,-0.012496613761298986,0.008557230716456145,0.4956218110386962,0.12475684603752298,nadir
nadir,128,relative_scale_shift,320000,0.054020556640625,0.05065675294995308,0.11445932529796116,0.0012792326152324676,0.39937177453171596,0.2331802982442696,0.5696057132868879,0.12475684603752298,nadir
oblique,8,metric_raw,320000,0.01931611328125,0.026151873940229414,0.11978850330165473,0.0017601515233516692,0.02837290463975697,0.03792990105213235,0.518866514179785,0.11704040259839546,oblique
oblique,8,metric_bias_corrected,320000,0.01931611328125,0.026151875030994417,0.11978850648973584,0.0017601528286933898,0.028372828209584183,0.037929979667830314,0.5188515644855063,0.11704040259839546,oblique
oblique,8,metric_scale_shift,320000,0.01931611328125,0.04410593031048775,0.13733027914941906,0.004203566956520081,0.02830117055134421,0.03522087415989468,0.5188590393326457,0.11704040259839546,oblique
oblique,8,relative_scale_shift,320000,0.01931611328125,0.022051900559663773,0.12355948292845496,0.0002206843316555023,0.13652165378252584,0.15673238726531652,0.568207980146806,0.11704040259839546,oblique
oblique,16,metric_raw,320000,0.0346332275390625,0.044962342458218334,0.1692167088529391,0.0030718061469495296,0.07598318770249486,0.05483639817523679,0.5208513337635208,0.16420264407700838,oblique
oblique,16,metric_bias_corrected,320000,0.0346332275390625,0.044962339267134666,0.16921670789944054,0.003071806165575981,0.07598320100631305,0.054836596406811926,0.5208458652784006,0.16420264407700838,oblique
oblique,16,metric_scale_shift,320000,0.0346332275390625,0.07653563671708107,0.20693263836162654,0.007832007771730423,0.0739431681652875,0.05195958335346527,0.5208458652784006,0.16420264407700838,oblique
oblique,16,relative_scale_shift,320000,0.0346332275390625,0.03746508843898773,0.16788708065308894,0.00019253463745117188,0.225614589075059,0.17276077676771343,0.558354204718209,0.16420264407700838,oblique
oblique,32,metric_raw,320000,0.057486328125,0.07350382900536061,0.23454230199614984,0.006737395232915879,0.09920882273579562,0.07429254625163015,0.5229011092583195,0.22405531782952726,oblique
oblique,32,metric_bias_corrected,320000,0.057486328125,0.07350382595062256,0.23454230064144357,0.006737396395206451,0.09920884215282916,0.07429260127031435,0.5228875154063656,0.22405531782952726,oblique
oblique,32,metric_scale_shift,320000,0.057486328125,0.1282772675216198,0.3121469927342607,0.016111831104755402,0.09874755274856772,0.07129235952985265,0.5229011092583195,0.22405531782952726,oblique
oblique,32,relative_scale_shift,320000,0.057486328125,0.059024346292018894,0.22110560656710404,0.0005008940100669861,0.29198612605976426,0.2040033417149934,0.5559341695062713,0.22405531782952726,oblique
