depth_bin_lower_m,depth_bin_upper_m,depth_range_m,bin_method,valid_pixels,mae_m,rmse_m,absrel,bias_m,delta_1_25,delta_1_25_2,delta_1_25_3
9.59375,15.359375,9.594-15.359,five empirical GT quantile bins,128248361,9.685629442073344,9.710499334151379,0.6427521888364838,-9.685629442073344,1.3411477437906593e-06,4.000051119561676e-06,0.003086526774404548
15.359375,18.015625,15.359-18.016,five empirical GT quantile bins,134800749,10.779938758405473,10.841433554253017,0.6512118990962288,-10.779938758405473,3.4866275112462467e-07,1.7284770428093097e-06,5.1112475643588595e-06
18.015625,18.515625,18.016-18.516,five empirical GT quantile bins,137608466,12.154661005782899,12.176557374024487,0.6635581767088901,-12.154661005782899,2.6161181100587224e-07,1.5188019027840917e-06,3.6989003278330276e-06
18.515625,26.1875,18.516-26.188,five empirical GT quantile bins,133031409,13.964697831925807,14.117500992897112,0.6425558139602688,-13.964697831925807,0.0,0.0,0.024473641408999883
26.1875,61.40625,26.188-61.406,five empirical GT quantile bins,133016045,23.097125835325567,23.86031159625484,0.6533389681701868,-23.097125835325567,0.0,5.13095995298913e-05,0.020679016580293003
