pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,zero_baseline_mae_m,improvement_vs_zero_mae_m
8,metric_raw,640000,0.01323692626953125,0.019120573427528143,0.08896619429195485,0.001115085230022669,0.026853268341093257,0.029180909458299025,0.5135886426249038,0.08614517350938941,0.01323692626953125,-0.005883647157996894
8,metric_bias_corrected,640000,0.01323692626953125,0.019120573611557484,0.0889661961520019,0.001115086431801319,0.026853216647083962,0.029181054583346907,0.5135596866132222,0.08614517350938941,0.01323692626953125,-0.005883647342026234
8,metric_scale_shift,640000,0.01323692626953125,0.0258858976572752,0.10003492150178174,0.002261544981598854,0.027053824109294973,0.022409696421201206,0.5093693380655729,0.08614517350938941,0.01323692626953125,-0.012648971387743952
8,relative_scale_shift,640000,0.01323692626953125,0.014738735301792621,0.09052459935623669,0.000152915321290493,0.13365296136223762,0.1247605997568986,0.5591405855732877,0.08614517350938941,0.01323692626953125,-0.0015018090322613722
8,zero_baseline,640000,0.01323692626953125,0.01323692626953125,0.0861458085477917,0.00033077392578125,nan,nan,0.0,0.08614517350938941,0.01323692626953125,0.0
16,metric_raw,640000,0.0241095458984375,0.033114471926912664,0.12532834322571645,0.002066452981159091,0.0748673516477543,0.041073332816446796,0.5152684608759659,0.12124820556885867,0.0241095458984375,-0.009004926028475163
16,metric_bias_corrected,640000,0.0241095458984375,0.033114470168948175,0.12532834271704335,0.00206645350754261,0.0748673586395452,0.041073439834449686,0.515256540539574,0.12124820556885867,0.0241095458984375,-0.009004924270510674
16,metric_scale_shift,640000,0.0241095458984375,0.0454078888386488,0.15045923692497576,0.004246716350317001,0.0706921694156844,0.03270577084616584,0.5108728368314553,0.12124820556885867,0.0241095458984375,-0.021298342940211296
16,relative_scale_shift,640000,0.0241095458984375,0.025622970682382583,0.12353794001382562,0.00020091326534748077,0.22071509156398608,0.13733903392697622,0.5522989858773815,0.12124820556885867,0.0241095458984375,-0.0015134247839450818
16,zero_baseline,640000,0.0241095458984375,0.0241095458984375,0.12124910413273463,0.000466796875,nan,nan,0.0,0.12124820556885867,0.0241095458984375,0.0
32,metric_raw,640000,0.04083575439453125,0.054809504989534616,0.17474783789649853,0.004406828419119119,0.09814352617960281,0.05613849297148692,0.5172003679638444,0.1662089145454056,0.04083575439453125,-0.013973750595003366
32,metric_bias_corrected,640000,0.04083575439453125,0.054809502828121186,0.17474783716043257,0.0044068294167518614,0.09814354315549427,0.056138535220414995,0.5171906591552851,0.1662089145454056,0.04083575439453125,-0.013973748433589936
32,metric_scale_shift,640000,0.04083575439453125,0.07671628358364105,0.2264389049171687,0.008636736196279526,0.09377323293612046,0.04244598735023505,0.5118726592669364,0.1662089145454056,0.04083575439453125,-0.0358805291891098
32,relative_scale_shift,640000,0.04083575439453125,0.04152528080046177,0.16369376666341723,0.0004102529287338257,0.2862603388781968,0.16328239902698796,0.5541326757233669,0.1662089145454056,0.04083575439453125,-0.0006895264059305212
32,zero_baseline,640000,0.04083575439453125,0.04083575439453125,0.16621233377195177,0.00106612548828125,nan,nan,0.0,0.1662089145454056,0.04083575439453125,0.0
64,metric_raw,640000,0.0625236572265625,0.08448902803696692,0.22420434465775355,0.008430625276640057,0.13997089527023351,0.07883200419537335,0.5235261840255153,0.2054651386921798,0.0625236572265625,-0.021965370810404422
64,metric_bias_corrected,640000,0.0625236572265625,0.08448902791887522,0.22420434443907605,0.008430624268949033,0.13997089828587891,0.07883201267659372,0.5235218971844028,0.2054651386921798,0.0625236572265625,-0.02196537069231272
64,metric_scale_shift,640000,0.0625236572265625,0.12256685620248317,0.32944559321396955,0.016966149070858954,0.1317074315728449,0.05995032304433637,0.5146609966048218,0.2054651386921798,0.0625236572265625,-0.06004319897592067
64,relative_scale_shift,640000,0.0625236572265625,0.061308530098199844,0.19449602309734523,0.0008846875339746475,0.3799263615998942,0.19840376553320077,0.5605237662471279,0.2054651386921798,0.0625236572265625,0.0012151271283626572
64,zero_baseline,640000,0.0625236572265625,0.0625236572265625,0.2054749703861767,0.0020100341796875,nan,nan,0.0,0.2054651386921798,0.0625236572265625,0.0
128,metric_raw,640000,0.0883434814453125,0.12552192958518862,0.29501734002007385,0.017149050644785165,0.1683336200564692,0.0860478899477178,0.5283579160165258,0.25984472628791505,0.0883434814453125,-0.03717844813987613
128,metric_bias_corrected,640000,0.0883434814453125,0.12552192948013544,0.29501734156725773,0.017149050824344158,0.16833361092639523,0.08604787483653574,0.5283520279486953,0.25984472628791505,0.0883434814453125,-0.03717844803482294
128,metric_scale_shift,640000,0.0883434814453125,0.19026577612161635,0.4788935472616394,0.03490081745684147,0.16171793049797817,0.0732322923627835,0.5172196543704184,0.25984472628791505,0.0883434814453125,-0.10192229467630386
128,relative_scale_shift,640000,0.0883434814453125,0.08684206134080887,0.23864927856099272,0.0010156061410903931,0.44081900233660576,0.22815569546116443,0.5638590396561368,0.25984472628791505,0.0883434814453125,0.0015014201045036313
128,zero_baseline,640000,0.0883434814453125,0.0883434814453125,0.25986309445161926,0.0030896728515625,nan,nan,0.0,0.25984472628791505,0.0883434814453125,0.0
