pixel_separation,gt_magnitude_lower_m,gt_magnitude_upper_m,gt_magnitude_bin,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
8,0.0,0.02,0.00-0.02 m,metric_raw,566413,0.0037292934881438104,0.010002826952470277,0.021787597460494204,0.0007493123938422673,0.003361334334668971,0.002523250950203037,0.49970563573760546,0.00715194794987512
8,0.0,0.02,0.00-0.02 m,metric_bias_corrected,566413,0.0037292934881438104,0.010002826572794037,0.02178759737372475,0.0007493131321483933,0.0033613890621687855,0.0025234939356060956,0.49967590197372724,0.00715194794987512
8,0.0,0.02,0.00-0.02 m,metric_scale_shift,566413,0.0037292934881438104,0.01523364954528335,0.04002390050981032,0.0015412255007046796,-0.0020159993835870056,0.0037694396979547702,0.501364779762011,0.00715194794987512
8,0.0,0.02,0.00-0.02 m,relative_scale_shift,566413,0.0037292934881438104,0.006075833049794866,0.03595505606396904,5.8041113603681504e-05,0.010372155676072142,0.032413892173655014,0.5187887653946562,0.00715194794987512
8,0.02,0.05,0.02-0.05 m,metric_raw,50308,0.032233162469189794,0.03658753521180621,0.05032003761384008,0.003574723913795269,0.04385349918290575,0.08326128572711876,0.5366542100659935,0.03263378263324169
8,0.02,0.05,0.02-0.05 m,metric_bias_corrected,50308,0.032233162469189794,0.03658753452936454,0.050320045480176566,0.003574734396857545,0.04385359454615359,0.08326148333307712,0.5366343325117278,0.03263378263324169
8,0.02,0.05,0.02-0.05 m,metric_scale_shift,50308,0.032233162469189794,0.056836034550787756,0.10223455815537796,0.006747604146276321,0.0405015296059189,0.06831897846649743,0.5228194322970502,0.03263378263324169
8,0.02,0.05,0.02-0.05 m,relative_scale_shift,50308,0.032233162469189794,0.031419524367742604,0.04712927034836773,0.0012338912533473975,0.12254074498260076,0.2957890591175717,0.6169396517452492,0.03263378263324169
8,0.05,0.1,0.05-0.10 m,metric_raw,13158,0.07097452595379238,0.07397164673695794,0.08798516016129071,0.007718371808628558,0.06490824447563169,0.09573889080421132,0.5475756193950448,0.07202665552682543
8,0.05,0.1,0.05-0.10 m,metric_bias_corrected,13158,0.07097452595379238,0.07397166246482895,0.08798517884744578,0.007718369416832507,0.0649080972252313,0.09573768938552632,0.54749962000304,0.07202665552682543
