variant,pixel_separation,metric,images,mean,median,std
metric_raw,8,local_difference_mae_m,32,0.019120573427528143,0.015154924166202545,0.009811660742852002
metric_raw,8,local_difference_rmse_m,32,0.07110800232615368,0.05063282236612139,0.05346621112420051
metric_raw,8,local_difference_pearson,32,0.034031588571753646,0.027919507441754348,0.034712352365505864
metric_raw,8,local_difference_spearman,32,0.026676340977653173,0.020908250171514545,0.03800704036601675
metric_raw,8,local_difference_sign_agreement,32,0.5098814729777018,0.5115936362951741,0.022539673037362217
metric_raw,16,local_difference_mae_m,32,0.033114471926912664,0.026806732344627382,0.01691113101497273
metric_raw,16,local_difference_rmse_m,32,0.10097104538991845,0.06325971826603266,0.07424312499194803
metric_raw,16,local_difference_pearson,32,0.06991083044309278,0.06436288763013825,0.06435743585091094
metric_raw,16,local_difference_spearman,32,0.03833805437095353,0.03545886260490882,0.04891614037583556
metric_raw,16,local_difference_sign_agreement,32,0.5132985506832439,0.5165862982676543,0.022357970576179165
metric_raw,32,local_difference_mae_m,32,0.054809504989534616,0.04628273943662643,0.02810410837865253
metric_raw,32,local_difference_rmse_m,32,0.14307038564633245,0.09707951329784818,0.10033778750057547
metric_raw,32,local_difference_pearson,32,0.09078789083576884,0.09228047089869254,0.08729673556547943
metric_raw,32,local_difference_spearman,32,0.05161662437131379,0.052037550342152725,0.06142791282876181
metric_raw,32,local_difference_sign_agreement,32,0.5152325922459489,0.5162080373155347,0.024189494616925433
metric_raw,64,local_difference_mae_m,32,0.08448902803696692,0.07182487905025482,0.04256923878081835
metric_raw,64,local_difference_rmse_m,32,0.18920586850020354,0.13324888414673314,0.1202860236623376
metric_raw,64,local_difference_pearson,32,0.12371766141095905,0.13923548141527903,0.10822803897754618
metric_raw,64,local_difference_spearman,32,0.07203623553612344,0.0672826625421739,0.0741297502974295
metric_raw,64,local_difference_sign_agreement,32,0.5217184877548755,0.5261565631172085,0.028448853443842525
metric_raw,128,local_difference_mae_m,32,0.12552192958518862,0.10533158029317856,0.06225818099880671
metric_raw,128,local_difference_rmse_m,32,0.25163109649312543,0.18087045160879095,0.154003318763549
metric_raw,128,local_difference_pearson,32,0.13318842376374235,0.17290168290799846,0.13877876900153568
metric_raw,128,local_difference_spearman,32,0.07871899916941906,0.08997993352618,0.0833137010068839
metric_raw,128,local_difference_sign_agreement,32,0.5280053068078865,0.5292305288051442,0.034945764182527345
metric_bias_corrected,8,local_difference_mae_m,32,0.019120573611557487,0.015154925155639648,0.009811662832977516
metric_bias_corrected,8,local_difference_rmse_m,32,0.0711080033360423,0.05063282009964355,0.05346621287615082
metric_bias_corrected,8,local_difference_pearson,32,0.03403155582742911,0.0279199077315953,0.034712370999922554
metric_bias_corrected,8,local_difference_spearman,32,0.026676554976747972,0.02090666746406259,0.03800703719813565
metric_bias_corrected,8,local_difference_sign_agreement,32,0.5098556167165309,0.5115936362951741,0.022548705862023198
metric_bias_corrected,16,local_difference_mae_m,32,0.033114470168948175,0.02680672388076782,0.01691113012884035
