scene,year,date,crop,filename,frame_id,camera_type,view_type,nadir_or_oblique,view_verticality_score,width,height,corresponding_depth_filename,intrinsics_available,extrinsics_available,camera_model,local_rgb_path,local_depth_path,source_rgb,source_depth,source_revision,valid_pixels,raw_mae_m,raw_rmse_m,raw_absrel,global_bias_m,corrected_mae_m,corrected_rmse_m,scale_shift_scale,scale_shift_shift_m,scale_shift_mae_m,scale_shift_rmse_m,scale_shift_absrel,relative_orientation,relative_scale_shift_scale,relative_scale_shift_shift_m,relative_aligned_mae_m,relative_aligned_rmse_m,relative_aligned_absrel
2025/Day001_Wheat,2025,Day001,wheat,182.JPG,182,DJI Mavic 3M RGB camera,oblique,oblique,0.7033511780111273,5280,3956,182_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\182.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\182_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/182.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/182_depth.tif,main,20885713,16.01916612608776,17.27225273029531,0.6749292928717887,-13.974698066711426,4.981967926025391,6.774723529815674,5.103826557635864,-13.823095633502858,1.5445231199264526,2.1830646991729736,0.0694715604186058,inverse_depth; negated before z-depth alignment,3.4842424407100814,37.23127103793431,2.1749320030212402,2.705963134765625,0.09509047865867615
2025/Day001_Wheat,2025,Day001,wheat,240.JPG,240,DJI Mavic 3M RGB camera,oblique,oblique,0.7075718208125407,5280,3956,240_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\240.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\240_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/240.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/240_depth.tif,main,20435459,15.386993228349718,16.194837269569014,0.6582216477141888,-14.15174150466919,4.0684709548950195,5.199908256530762,2.533407094874317,2.9155025217157027,0.808766782283783,1.0729342699050903,0.03612761199474335,inverse_depth; negated before z-depth alignment,3.4514428744930714,38.4389698223532,2.0658767223358154,2.561628580093384,0.08992190659046173
2025/Day001_Wheat,2025,Day001,wheat,298.JPG,298,DJI Mavic 3M RGB camera,oblique,oblique,0.7061234622354156,5280,3956,298_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\298.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\298_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/298.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/298_depth.tif,main,20887676,17.042039979282453,18.21150643563213,0.7210223412439023,-14.459397554397583,4.871407508850098,6.920829772949219,5.190298042632546,-9.314707424817504,2.5170793533325195,3.3292810916900635,0.10231875628232956,inverse_depth; negated before z-depth alignment,3.427836581129895,37.1635215039323,2.1304733753204346,2.627479314804077,0.09241809695959091
2025/Day001_Wheat,2025,Day001,wheat,357.JPG,357,DJI Mavic 3M RGB camera,oblique,oblique,0.704063446389367,5280,3956,357_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\357.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\357_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/357.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/357_depth.tif,main,20885825,14.743864873232008,15.580628767585196,0.6184737638723051,-13.200098991394043,3.8842620849609375,5.268553256988525,2.279513525400889,3.0831090456061236,1.870627522468567,2.850342273712158,0.0670565739274025,inverse_depth; negated before z-depth alignment,3.263127244722034,38.18561418856047,1.994694709777832,2.4855074882507324,0.08507178723812103
2025/Day001_Wheat,2025,Day001,wheat,415.JPG,415,DJI Mavic 3M RGB camera,oblique,oblique,0.7052316183673132,5280,3956,415_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\415.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\415_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/415.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/415_depth.tif,main,20885248,16.700669288594316,18.08688956281686,0.7019212971736712,-14.360253810882568,5.386048316955566,7.328080654144287,6.913989725889593,-22.143423310198525,2.355316400527954,2.9958479404449463,0.1016945168375969,inverse_depth; negated before z-depth alignment,3.74168605910284,36.373305709404995,2.363020658493042,2.9205422401428223,0.10384433716535568
2025/Day001_Wheat,2025,Day001,wheat,674.JPG,674,DJI Mavic 3M RGB camera,oblique,oblique,0.7082393071015787,5280,3956,674_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\674.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\674_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/674.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/674_depth.tif,main,20865890,17.89798308382023,19.222037691907914,0.7611572923137889,-15.872408628463745,5.626462936401367,7.297388553619385,5.131944504819167,-3.7790910850263346,3.7937917709350586,4.810720443725586,0.1640525609254837,inverse_depth; negated before z-depth alignment,3.5743380267309672,38.134915126886604,2.013636589050293,2.4921865463256836,0.08908601105213165
2025/Day001_Wheat,2025,Day001,wheat,732.JPG,732,DJI Mavic 3M RGB camera,oblique,oblique,0.7073450723867275,5280,3956,732_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\732.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\732_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/732.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/732_depth.tif,main,20887678,17.752000758964293,18.880660776762834,0.7555236489959922,-15.938820600509644,5.2137837409973145,6.680826663970947,2.3267751209897094,10.343730618295815,4.511659145355225,5.534114837646484,0.1966869831085205,inverse_depth; negated before z-depth alignment,3.597890433024964,38.86192829236594,2.1401724815368652,2.639857053756714,0.09417911618947983
2025/Day001_Wheat,2025,Day001,wheat,791.JPG,791,DJI Mavic 3M RGB camera,oblique,oblique,0.7057398871009861,5280,3956,791_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\791.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\791_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/791.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/791_depth.tif,main,20876367,16.452875901757327,17.21640317255143,0.7103871379666481,-15.47429895401001,4.235791206359863,5.163818836212158,1.7365153764130317,11.232785717779832,3.1643147468566895,4.001223087310791,0.14487841725349426,inverse_depth; negated before z-depth alignment,3.810819837820776,39.73451494545983,2.1930418014526367,2.705202341079712,0.09635481238365173
2025/Day001_Wheat,2025,Day001,wheat,849.JPG,849,DJI Mavic 3M RGB camera,oblique,oblique,0.7076058666729741,5280,3956,849_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\849.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\849_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/849.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/849_depth.tif,main,20887680,17.756166650597873,19.173032930492315,0.7491821005594206,-15.559706449508667,5.678105354309082,7.559641361236572,8.856751689772912,-24.810784375899424,3.920799970626831,5.12157678604126,0.17637355625629425,inverse_depth; negated before z-depth alignment,3.697259086112661,37.845231091200525,2.0851805210113525,2.552978515625,0.09215259552001953
2025/Day001_Wheat,2025,Day001,wheat,908.JPG,908,DJI Mavic 3M RGB camera,oblique,oblique,0.7081770834942197,5280,3956,908_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\908.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\908_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/908.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/908_depth.tif,main,20828647,16.015439304775896,17.033913231048423,0.6692430555772357,-14.26179552078247,4.643704891204834,6.060954570770264,2.9617061411993464,0.8773997568202029,2.3685946464538574,3.4263036251068115,0.09297429770231247,inverse_depth; negated before z-depth alignment,3.4055065759894143,39.14183122756072,1.961423635482788,2.4147887229919434,0.08514930307865143
