pixel_separation,gt_magnitude_lower_m,gt_magnitude_upper_m,gt_magnitude_bin,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
8,0.0,0.02,0.00-0.02 m,metric_raw,334850,0.005711092653426907,0.010554919571098293,0.02347517692677954,0.0002530264573184807,0.012719814995314549,0.03391558008539706,0.5194433460614609,0.00848991844494332
8,0.0,0.02,0.00-0.02 m,metric_bias_corrected,334850,0.005711092653426907,0.01055491914104059,0.02347517631302373,0.00025302517284150086,0.012719794056851818,0.03391558788054541,0.5194374443021464,0.00848991844494332
8,0.0,0.02,0.00-0.02 m,metric_scale_shift,334850,0.005711092653426907,0.019372530904869296,0.052396624658855084,0.0002934327167558264,0.010879441825783091,0.021838925150512403,0.5132819093371734,0.00848991844494332
8,0.0,0.02,0.00-0.02 m,relative_scale_shift,334850,0.005711092653426907,0.006896817405419295,0.010895252464806925,-8.554024573171319e-05,0.08898464535643531,0.07731075958527174,0.5277117108610077,0.00848991844494332
8,0.02,0.05,0.02-0.05 m,metric_raw,46084,0.03220952499783005,0.034385267587888055,0.051437851723985635,-0.00040663302684552493,0.040505792298313865,0.11476881686468678,0.5565706101900877,0.03288822093377633
8,0.02,0.05,0.02-0.05 m,metric_bias_corrected,46084,0.03220952499783005,0.03438526672907623,0.051437849823427535,-0.00040663957657907976,0.04050580465117069,0.1147686773041597,0.5565489106848364,0.03288822093377633
8,0.02,0.05,0.02-0.05 m,metric_scale_shift,46084,0.03220952499783005,0.054709637250950766,0.1259015424192164,0.00016451736630980376,0.0338709380446318,0.09166893728008535,0.5473483204582935,0.03288822093377633
8,0.02,0.05,0.02-0.05 m,relative_scale_shift,46084,0.03220952499783005,0.030765581168231113,0.0325415945907936,-0.0007437300882802201,0.21814041407530482,0.27017309896782093,0.6175896189566877,0.03288822093377633
8,0.05,0.1,0.05-0.10 m,metric_raw,11560,0.0713397491349481,0.07301452009323146,0.0857837135792781,0.0033907513098733236,0.04299496816153278,0.12762950250842223,0.5660899653979239,0.07248998552587214
8,0.05,0.1,0.05-0.10 m,metric_bias_corrected,11560,0.0713397491349481,0.07301452060884257,0.08578371115949075,0.0033907455556532917,0.04299497545286665,0.1276300408132356,0.5660034602076125,0.07248998552587214
8,0.05,0.1,0.05-0.10 m,metric_scale_shift,11560,0.0713397491349481,0.0959687477164615,0.19120766035484388,0.004521725664501784,0.03788056607372878,0.10044115479503811,0.5588235294117647,0.07248998552587214
8,0.05,0.1,0.05-0.10 m,relative_scale_shift,11560,0.0713397491349481,0.06809914862820847,0.070179409220064,0.002586623294130741,0.2567397191534472,0.31396591221863496,0.6513840830449827,0.07248998552587214
8,0.1,0.2,0.10-0.20 m,metric_raw,4755,0.14003351735015773,0.13844535097589503,0.147890104439964,0.011406840535995211,0.0615260658359994,0.1774551330916499,0.5871713985278654,0.14208379794189635
8,0.1,0.2,0.10-0.20 m,metric_bias_corrected,4755,0.14003351735015773,0.1384453569927677,0.14789011947244732,0.01140684655286787,0.06152590262628328,0.1774530073576272,0.5871713985278654,0.14208379794189635
8,0.1,0.2,0.10-0.20 m,metric_scale_shift,4755,0.14003351735015773,0.15006615792163164,0.3639035910726685,0.009361378201425513,0.029202811566126995,0.11686079046250931,0.5707676130389064,0.14208379794189635
8,0.1,0.2,0.10-0.20 m,relative_scale_shift,4755,0.14003351735015773,0.13517388304701364,0.13854433975513022,0.010827250034400467,0.274037837409578,0.348090221173918,0.6876971608832808,0.14208379794189635
8,0.2,0.5,0.20-0.50 m,metric_raw,2390,0.28484244246861923,0.2808359581057497,0.2912241594421739,0.015770095761351008,0.13324177993673594,0.30594061260369326,0.6372384937238493,0.29341154589518703
8,0.2,0.5,0.20-0.50 m,metric_bias_corrected,2390,0.28484244246861923,0.2808359441398078,0.2912241476007797,0.01577011651075036,0.13324211561606128,0.30594318652652935,0.6372384937238493,0.29341154589518703
8,0.2,0.5,0.20-0.50 m,metric_scale_shift,2390,0.28484244246861923,0.27934743250763067,0.3190549365575953,0.012648762020605877,0.09435520444939498,0.24003287322625386,0.6200836820083682,0.29341154589518703
8,0.2,0.5,0.20-0.50 m,relative_scale_shift,2390,0.28484244246861923,0.27467189972370737,0.28399258300717783,0.013932456730798697,0.3704789542220233,0.4971669223930182,0.7376569037656904,0.29341154589518703
8,0.5,1.0,0.50-1.00 m,metric_raw,341,0.6317357038123167,0.6234265184821971,0.6354021041149497,0.06617243199054797,0.4586076987446351,0.4254370320713458,0.7565982404692082,0.6398238676032629
8,0.5,1.0,0.50-1.00 m,metric_bias_corrected,341,0.6317357038123167,0.6234265492458847,0.6354021259629754,0.06617254106180409,0.45860768929914686,0.42538934355911606,0.7565982404692082,0.6398238676032629
8,0.5,1.0,0.50-1.00 m,metric_scale_shift,341,0.6317357038123167,0.5923100356831928,0.6098852661917334,0.06918847875511192,0.44808430225895785,0.4195031582231087,0.7565982404692082,0.6398238676032629
8,0.5,1.0,0.50-1.00 m,relative_scale_shift,341,0.6317357038123167,0.6125217169261049,0.6261983730326242,0.06505521511402299,0.4662969033382047,0.5971290018168204,0.8563049853372434,0.6398238676032629
8,1.0,inf,1.00+ m,metric_raw,20,1.6328125,1.58039333820343,1.6162091237482366,-0.8297278642654419,0.4278346446649904,0.47218045112781953,0.9,1.4200529190733526
8,1.0,inf,1.00+ m,metric_bias_corrected,20,1.6328125,1.5803932189941405,1.6162089303948375,-0.8297275543212891,0.427835309484799,0.47218045112781953,0.9,1.4200529190733526
8,1.0,inf,1.00+ m,metric_scale_shift,20,1.6328125,1.4761547088623046,1.5203729786585012,-0.7604438781738281,0.5436880212275775,0.4917293233082706,0.9,1.4200529190733526
8,1.0,inf,1.00+ m,relative_scale_shift,20,1.6328125,1.5699665069580078,1.6049423129892124,-0.836578369140625,0.5274800283095339,0.3984962406015037,0.85,1.4200529190733526
16,0.0,0.02,0.00-0.02 m,metric_raw,275277,0.007276619323445112,0.015579335184441342,0.029217250258679914,0.0008468338035934621,0.018505353467830776,0.03162923934942525,0.5169846934261362,0.009765500974066001
16,0.0,0.02,0.00-0.02 m,metric_bias_corrected,275277,0.007276619323445112,0.01557933670098988,0.029217250562679008,0.0008468325659304917,0.01850526863795663,0.031629094396488124,0.516966997965022,0.009765500974066001
16,0.0,0.02,0.00-0.02 m,metric_scale_shift,275277,0.007276619323445112,0.030158437726532962,0.07521704547928532,0.0008702546993287723,0.010166778886950353,0.017277443675087864,0.5101070575397411,0.009765500974066001
16,0.0,0.02,0.00-0.02 m,relative_scale_shift,275277,0.007276619323445112,0.009398831177805453,0.015075070706652113,-4.985427353411965e-05,0.072005122033046,0.06368083259711413,0.5198395611525644,0.009765500974066001
16,0.02,0.05,0.02-0.05 m,metric_raw,80321,0.0324663109585289,0.03656933855332769,0.06974649457673285,-0.0003857391469885653,0.03369322061573318,0.10033435699199096,0.5442661321447692,0.03336012325942983
16,0.02,0.05,0.02-0.05 m,metric_bias_corrected,80321,0.0324663109585289,0.03656934219842692,0.06974649092136737,-0.0003857446324473392,0.03369314387619351,0.10033421419167969,0.5442661321447692,0.03336012325942983
16,0.02,0.05,0.02-0.05 m,metric_scale_shift,80321,0.0324663109585289,0.06437592015982556,0.16245814786391005,4.182481841142445e-05,0.029834988727350055,0.07595703423361305,0.53421894647726,0.03336012325942983
16,0.02,0.05,0.02-0.05 m,relative_scale_shift,80321,0.0324663109585289,0.031449640719319875,0.03527472978124634,-0.0007003673354423007,0.1907638937607618,0.24115697106183503,0.5889866909027527,0.03336012325942983
16,0.05,0.1,0.05-0.10 m,metric_raw,26795,0.0720231153200224,0.07409690648545345,0.09997274236526209,0.0015071726085579557,0.06415767161201164,0.1500826358138087,0.5763761895876096,0.07325790288774062
16,0.05,0.1,0.05-0.10 m,metric_bias_corrected,26795,0.0720231153200224,0.07409691024925487,0.09997274595758329,0.0015071843982432443,0.0641576492177135,0.1500828493057164,0.5763761895876096,0.07325790288774062
16,0.05,0.1,0.05-0.10 m,metric_scale_shift,26795,0.0720231153200224,0.11194841680653084,0.25208358052556534,0.00309502864466783,0.0644005699287004,0.12153247737375479,0.5690240716551596,0.07325790288774062
16,0.05,0.1,0.05-0.10 m,relative_scale_shift,26795,0.0720231153200224,0.0676145306583838,0.07091051116916279,0.00021386232854804345,0.26251881372389485,0.3293199059073812,0.6568762828885987,0.07325790288774062
16,0.1,0.2,0.10-0.20 m,metric_raw,11736,0.13865722989093388,0.13801804534334183,0.17128735414986662,0.011052279364274485,0.0579312795232428,0.18715418438249984,0.6026755282890253,0.14068877751394454
16,0.1,0.2,0.10-0.20 m,metric_bias_corrected,11736,0.13865722989093388,0.13801805714644294,0.17128736881322523,0.011052273858869328,0.05793118785350541,0.18715296998804462,0.6026755282890253,0.14068877751394454
16,0.1,0.2,0.10-0.20 m,metric_scale_shift,11736,0.13865722989093388,0.16767659184066472,0.4784486039960267,0.009430114802001038,0.03739230811028038,0.12702686910733232,0.5799250170415815,0.14068877751394454
16,0.1,0.2,0.10-0.20 m,relative_scale_shift,11736,0.13865722989093388,0.13075121877627383,0.13560737636137943,0.0092875629196219,0.2745841311026181,0.3750061307999881,0.6935923653715065,0.14068877751394454
