target_abs_gt_difference_m,range_lower_m,range_upper_m,variant,pairs,slope,intercept_m,r2,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m
0.1,0.08000000000000002,0.12,metric_raw,88753,0.11127357920353581,0.0024047005186002353,0.004555803851948759,0.09878706564848512,0.10851433268184696,0.18545781884293006,0.004778442971867811,0.06749669511871512,0.16918711185675897,0.5822901761067232,0.09916559461456605
0.1,0.08000000000000002,0.12,metric_bias_corrected,88753,0.11127357780231246,0.002404702325434434,0.004555803656606128,0.09878706564848512,0.10851433099484069,0.18545782023872406,0.004778444782444606,0.06749669367166122,0.1691869782668056,0.5822901761067232,0.09916559461456605
0.1,0.08000000000000002,0.12,metric_scale_shift,88753,0.26542194169555505,0.004762038171792661,0.0033699390180988997,0.09878706564848512,0.1980707696751753,0.4585143293211277,0.006724058295682941,0.05805117585457819,0.13028557916024855,0.570189176703886,0.09916559461456605
0.1,0.08000000000000002,0.12,relative_scale_shift,88753,0.16142670874407558,0.0006909664546757866,0.07855319952081696,0.09878706564848512,0.0911401210512971,0.09964793695075763,0.002930752484494582,0.28027343705891417,0.3436613121539534,0.655718679931946,0.09916559461456605
0.2,0.16000000000000003,0.24,metric_raw,51160,0.16641914566739843,0.0039367353903226755,0.013721985909226908,0.1972502015734949,0.19661340947911737,0.3250180917479374,0.009878682330588608,0.1171408806063312,0.3218847580546178,0.6616301798279907,0.19824210367909179
0.2,0.16000000000000003,0.24,metric_bias_corrected,51160,0.1664191567777623,0.003936737608576231,0.013721987682480119,0.1972502015734949,0.1966134060538309,0.32501809099368356,0.009878684469645054,0.11714088817522257,0.32188483068489987,0.6616301798279907,0.19824210367909179
0.2,0.16000000000000003,0.24,metric_scale_shift,51160,0.363778087165,-0.0034130001416009304,0.009521751458697492,0.1972502015734949,0.31796770673696656,0.7462597839902371,0.0011221290287140107,0.09757946227919878,0.20446234673106006,0.6173768569194683,0.19824210367909179
0.2,0.16000000000000003,0.24,relative_scale_shift,51160,0.19070173856526432,0.0007432297637849185,0.13680846006690695,0.1972502015734949,0.1754673888480132,0.18654791707365198,0.006512085062344621,0.36987627670196294,0.5171422929474323,0.7664386239249413,0.19824210367909179
0.5,0.4,0.6,metric_raw,15253,0.13835331527243128,0.0050404282254402745,0.04332298562755721,0.4808439323411788,0.4386001163284591,0.5225131704867365,0.03907937010350731,0.20814174407734073,0.4509904311668285,0.7591293516029634,0.48271651805785365
0.5,0.4,0.6,metric_bias_corrected,15253,0.13835332780145057,0.005040437583130662,0.04332299421065389,0.4808439323411788,0.4386001110608356,0.5225131638872043,0.03907937896624476,0.2081417646957335,0.4509902412830654,0.7591293516029634,0.48271651805785365
0.5,0.4,0.6,metric_scale_shift,15253,0.5567223506656008,0.015184296671796592,0.05658979418462329,0.4808439323411788,0.5567285077795235,1.1184134817032494,0.03269576907572118,0.23788609497955762,0.4267505540197451,0.7590637907296925,0.48271651805785365
0.5,0.4,0.6,relative_scale_shift,15253,0.3032943500817248,-0.011018820171073324,0.368758553828745,0.4808439323411788,0.3597105828174363,0.38738775428485506,0.016504204688225076,0.6072549331448404,0.7134910344980847,0.905198977250377,0.48271651805785365
1.0,0.8,1.2,metric_raw,1640,0.041571748816614615,0.02500831891270472,0.004742336308820816,0.9292397103658536,0.9129415770856345,1.0464481608701122,0.3527604646799041,0.06886462305727742,0.2747441662514217,0.7054878048780487,0.8703651881738583
1.0,0.8,1.2,metric_bias_corrected,1640,0.04157175040263894,0.02500829532246257,0.0047423364678919055,0.9292397103658536,0.9129415744688453,1.0464481572270665,0.35276044054729183,0.06886462421223291,0.2747452850631187,0.7054878048780487,0.8703651881738583
1.0,0.8,1.2,metric_scale_shift,1640,0.17148267577887166,0.0904530941204219,0.003500106567006389,0.9292397103658536,1.1033105768808504,2.646111997118205,0.37377981209173433,0.05916169847972909,0.2712301521257577,0.7054878048780487,0.8703651881738583
1.0,0.8,1.2,relative_scale_shift,1640,0.0973196633986093,1.0705116523845741e-05,0.3067363237726447,0.9292397103658536,0.8385430440670106,0.8536830727765965,0.3086988274644061,0.5538378135994731,0.5823806691248956,0.9115853658536586,0.8703651881738583
