variant,pixel_separation,metric,images,mean,median,std
metric_raw,8,local_difference_mae_m,20,0.018841688088774677,0.015727914762496947,0.007866139626961977
metric_raw,8,local_difference_rmse_m,20,0.04222486358575319,0.04180480245953887,0.02091467837066981
metric_raw,8,local_difference_pearson,20,0.051170834515519445,0.043191302469604315,0.039991753708060705
metric_raw,8,local_difference_spearman,20,0.062180628576317135,0.061892819625934264,0.042903160744359785
metric_raw,8,local_difference_sign_agreement,20,0.530876942941915,0.5256276451529565,0.01701114752542819
metric_raw,16,local_difference_mae_m,20,0.03180681661486626,0.027341228187084197,0.013167628809619396
metric_raw,16,local_difference_rmse_m,20,0.06334523649633282,0.045027856648304596,0.03196719370031868
metric_raw,16,local_difference_pearson,20,0.0849300935706416,0.056674060691353834,0.06791830581834114
metric_raw,16,local_difference_spearman,20,0.08381238798675991,0.09114939187483745,0.05164984693584429
metric_raw,16,local_difference_sign_agreement,20,0.5351756830166216,0.5322800213515498,0.017591311971183538
metric_raw,32,local_difference_mae_m,20,0.05080319823861122,0.04524871633052826,0.020930693301094226
metric_raw,32,local_difference_rmse_m,20,0.09470363980229551,0.07872212549245666,0.05185277214847479
metric_raw,32,local_difference_pearson,20,0.13006536564439025,0.11747863060007126,0.0902249419962164
metric_raw,32,local_difference_spearman,20,0.12134613003547408,0.13179201518737732,0.07029554641849836
metric_raw,32,local_difference_sign_agreement,20,0.5459541540496191,0.5418562908036626,0.022284358037752704
metric_raw,64,local_difference_mae_m,20,0.0758047090435028,0.06860565481185912,0.031486383911682424
metric_raw,64,local_difference_rmse_m,20,0.1383768586326804,0.10904280692994406,0.0879031098809455
metric_raw,64,local_difference_pearson,20,0.18750723774752745,0.1826218185713992,0.12918374150117914
metric_raw,64,local_difference_spearman,20,0.16923193928485433,0.2029829930264541,0.10071997319688772
metric_raw,64,local_difference_sign_agreement,20,0.5597904526524748,0.5657708718355963,0.028789134204120874
metric_raw,128,local_difference_mae_m,20,0.10974668563067913,0.08668861007690429,0.048131018492121744
metric_raw,128,local_difference_rmse_m,20,0.19942580299170304,0.14373364685160034,0.1434364095761871
metric_raw,128,local_difference_pearson,20,0.23112497911557955,0.2493423727168193,0.16703319609984885
metric_raw,128,local_difference_spearman,20,0.2135003795237774,0.22532301774999497,0.14322512525208847
metric_raw,128,local_difference_sign_agreement,20,0.5728624151042447,0.5660973937101159,0.04029681642451922
metric_bias_corrected,8,local_difference_mae_m,20,0.01884168765306473,0.015727916002273558,0.007866137824594933
metric_bias_corrected,8,local_difference_rmse_m,20,0.04222486337446023,0.04180479968195361,0.020914677492393167
metric_bias_corrected,8,local_difference_pearson,20,0.051170856666582276,0.043191205143784814,0.03999180415853749
metric_bias_corrected,8,local_difference_spearman,20,0.06218041367999723,0.06189072843793997,0.04290310218645843
metric_bias_corrected,8,local_difference_sign_agreement,20,0.5308643814506151,0.5256276451529565,0.017006994393575878
metric_bias_corrected,16,local_difference_mae_m,20,0.03180681881189347,0.027341229701042174,0.013167630544266947
metric_bias_corrected,16,local_difference_rmse_m,20,0.06334523640881613,0.04502785717448869,0.031967192865108594
metric_bias_corrected,16,local_difference_pearson,20,0.08493007078752654,0.05667398734009982,0.067918312918146
metric_bias_corrected,16,local_difference_spearman,20,0.08381239890184285,0.09114957021804643,0.05164976668247641
metric_bias_corrected,16,local_difference_sign_agreement,20,0.5351653375094878,0.5322800213515498,0.01759047284657109
metric_bias_corrected,32,local_difference_mae_m,20,0.05080319947481156,0.0452487154006958,0.020930693971132144
metric_bias_corrected,32,local_difference_rmse_m,20,0.09470364258607598,0.0787221234803529,0.05185277478449375
metric_bias_corrected,32,local_difference_pearson,20,0.13006531965778348,0.11747857532628848,0.0902249448466942
metric_bias_corrected,32,local_difference_spearman,20,0.12134616679261652,0.13179173998283744,0.07029567676690877
metric_bias_corrected,32,local_difference_sign_agreement,20,0.5459480482851865,0.5418562908036626,0.02228086580248164
metric_bias_corrected,64,local_difference_mae_m,20,0.07580470997571946,0.06860565133094787,0.03148638380853891
metric_bias_corrected,64,local_difference_rmse_m,20,0.1383768590959163,0.10904280188177916,0.0879031105415903
metric_bias_corrected,64,local_difference_pearson,20,0.18750725614860334,0.1826218580739254,0.1291837492663337
metric_bias_corrected,64,local_difference_spearman,20,0.16923199409983583,0.20298308444618085,0.10071996553728549
metric_bias_corrected,64,local_difference_sign_agreement,20,0.5597763381275115,0.5657708718355963,0.028789604416778043
metric_bias_corrected,128,local_difference_mae_m,20,0.1097466857123375,0.08668861582279205,0.04813101766846861
metric_bias_corrected,128,local_difference_rmse_m,20,0.19942580385645664,0.14373365353454873,0.1434364092998118
metric_bias_corrected,128,local_difference_pearson,20,0.23112498554367847,0.24934237775461507,0.16703318054649952
metric_bias_corrected,128,local_difference_spearman,20,0.21350036669951972,0.22532295056399168,0.14322512089891518
metric_bias_corrected,128,local_difference_sign_agreement,20,0.5728624151042447,0.5660973937101159,0.04029681642451922
