group,pixel_separation,variant,pairs,mean_abs_gt_difference_m,local_difference_mae_m,local_difference_rmse_m,local_difference_bias_m,local_difference_pearson,local_difference_spearman,local_difference_sign_agreement,gt_difference_std_m,view_type
nadir,8,metric_raw,200000,0.008620390625,0.011957191479206085,0.027404780749129443,0.00016213714838027955,0.045870256607877115,0.0744064830881717,0.5335777187881853,0.020538366987914922,nadir
nadir,8,metric_bias_corrected,200000,0.008620390625,0.011957191796302795,0.027404781037424785,0.0001621373510360718,0.045870274986926876,0.07440662918010668,0.5335692917035352,0.020538366987914922,nadir
nadir,8,metric_scale_shift,200000,0.008620390625,0.008795385656356812,0.02051740876344197,-5.1346607208251954e-05,0.0504574112529093,0.045135259649176925,0.5194876332532761,0.020538366987914922,nadir
nadir,8,relative_scale_shift,200000,0.008620390625,0.008653636169433593,0.02045931679132315,-6.290081024169923e-05,0.17145292443748664,0.07423904021403474,0.5203387688029326,0.020538366987914922,nadir
nadir,16,metric_raw,200000,0.0157816015625,0.020618555796146392,0.03737257639481495,0.0005504847455024719,0.10168683866648867,0.09975961741770378,0.5382112728128255,0.031861137939145905,nadir
nadir,16,metric_bias_corrected,200000,0.0157816015625,0.020618555731773375,0.03737257648616332,0.0005504842042922973,0.10168681465706698,0.09975964648452657,0.5382045508015998,0.031861137939145905,nadir
nadir,16,metric_scale_shift,200000,0.0157816015625,0.015932171196937562,0.03174066572239941,4.567463397979736e-05,0.09130275026400445,0.058249033172714494,0.520895371895271,0.031861137939145905,nadir
nadir,16,relative_scale_shift,200000,0.0157816015625,0.015785111036300658,0.03165047433800814,1.1628055572509765e-05,0.23154379739468858,0.09539684619452256,0.5249621886868551,0.031861137939145905,nadir
nadir,32,metric_raw,200000,0.0267345703125,0.03399506314992905,0.057312504074104875,0.0012437181162834167,0.15494468370282874,0.13754727054008714,0.5477292346057933,0.04952717015986159,nadir
nadir,32,metric_bias_corrected,200000,0.0267345703125,0.03399506370067597,0.057312504855709774,0.001243718285560608,0.1549446681508431,0.13754734306742952,0.5477232399769806,0.04952717015986159,nadir
nadir,32,metric_scale_shift,200000,0.0267345703125,0.026799581232070924,0.04917094535794955,4.5920190811157226e-05,0.1430043419525941,0.08283012558965808,0.5250275752925379,0.04952717015986159,nadir
nadir,32,relative_scale_shift,200000,0.0267345703125,0.02664877543449402,0.04901868133260893,-2.1535472869873046e-05,0.2921279827401163,0.1241975647692071,0.5348168041434874,0.04952717015986159,nadir
nadir,64,metric_raw,200000,0.0406486328125,0.05128930680036545,0.07695057144124734,0.0024345341944694517,0.24711444973219202,0.1846410679885397,0.5609681718584111,0.07096143838629877,nadir
nadir,64,metric_bias_corrected,200000,0.0406486328125,0.05128930755138397,0.0769505724320004,0.002434535212516785,0.24711443946861075,0.18464109307867618,0.5609568772730353,0.07096143838629877,nadir
nadir,64,metric_scale_shift,200000,0.0406486328125,0.04054200108528137,0.07010406209310706,0.00015568814277648927,0.2108719760004857,0.10402889866425367,0.5299306512457927,0.07096143838629877,nadir
nadir,64,relative_scale_shift,200000,0.0406486328125,0.040364533877372745,0.06986876315587559,2.1961054801940918e-05,0.35198821689464793,0.1674585859157083,0.5498994781901556,0.07096143838629877,nadir
nadir,128,metric_raw,200000,0.0558685546875,0.07251246394872665,0.10315326693293606,0.0047239283108711245,0.3102549369957746,0.2449852428349969,0.5815586979402414,0.09289984210341948,nadir
